Sail #,Helm,Crew,,R1,R2,R3,R4,R5,R6,R7,R8,R9,Σ,Regatta Rank
DEN 8440,C Hristiansen,Christiansen,,38,35,34,26,48,40,12,32,33,210,32
SUI 9096,Bart,Grob,,54,26,43,27,25,10,63,59,26,211,33
GBR 8963,Hodgson,Miles,,29,21,44,38,49,65,34,20,25,211,34
GBR 9085,Hart,Hart,,41,49,24,57,28,23,37,15,59,217,35
USA 8083,Barry,Barrows,,32,31,36,70,8,78,40,40,31,218,36
FRA 8716,Martin,Toupet,,DSQ,53,82,14,31,17,42,24,38,219,37
USA 9041,Amthor,Dustin,,65,38,23,44,9,34,32,77,48,228,38
AUS 8801,Chappell,Castles,,34,28,25,94,27,51,35,58,42,242,39
SUI 8954,Marti,Jacot,,28,50,39,46,34,42,38,30,34,245,40
FRA 8904,Martin,Lafortune,,77,46,52,49,33,44,22,51,5,250,41
GER 9040,Dasenbrook,Meier,,55,42,38,28,54,46,14,43,54,265,42
RSA 8486,Funke,Funke,,39,70,58,37,61,26,36,12,62,269,43
SUI 8569,Betschen,Hollinger,,21,DNF,19,56,74,69,59,16,29,269,44
AUS 8817,Hagan,Duffield,,33,39,35,78,86,59,27,42,39,274,45
GER 8975,Holzapfel,Worm,,DSQ,29,26,31,23,56,88,89,22,275,46
USA 9009,Edwards,Shelton,,23,24,21,52,38,58,DSQ,72,65,281,47
GER 9011,Daisenberger,Nissen,,42,44,32,34,62,36,58,67,44,290,48
USA 8830,Condon,Dunne,,51,67,45,42,40,11,73,63,41,293,49
GER 8928,Schweiger,Koch,,62,55,76,35,57,43,16,48,46,300,50
GER 9100,Schultz,Oberlander,,61,58,55,17,56,41,53,36,52,310,51
FIN 8768,Nieminen,Salonen,,56,47,46,55,45,32,DSQ,33,DSQ,314,52
GER 9026,Plattner,Alarie,,44,23,56,86,29,55,90,102,37,330,53
FRA 8870,Silvestre,Auberger,,68,97,74,18,60,48,78,54,15,337,54
GBR 8835,Walters,Cram,,45,45,49,39,51,53,76,DNC,55,337,55
GBR 9093,Owen,Borders,,58,74,40,79,DNF,30,68,25,49,344,56
FRA 8948,Guillou,Chevet,,72,54,51,29,53,98,57,84,50,366,57
AUS 8855,Stowell,Attwell,,75,51,37,32,66,127,43,65,76,369,58
CAN 8970,Tennant,Mundell,,40,37,79,69,39,54,126,83,51,369,59
AUS 9061,Robinson,Penfold,,48,66,53,58,42,73,30,108,84,370,60
FRA 8683,Jackson,Lafortune,,57,43,68,40,67,63,60,49,58,370,61
FRA 8515,Croce,Florian Faucheux,,49,34,57,68,82,75,61,68,35,372,62
USA 8554,Conrads,Diola,,63,76,78,43,63,31,69,34,73,376,63
FRA 8564,Ratouis,Ratouis,,116,100,120,36,43,62,46,46,47,380,64
FRA 9024,Gachet,Valery,,66,64,65,33,58,50,50,88,64,384,65
RSA 8719,Biaglo,Ham,,88,60,71,59,68,33,74,39,89,404,66
GER 9029,Jürgen Waldheim,Thomas Jung,,60,DSQ,70,66,46,70,62,41,85,415,67
DEN 8828,Van Wonterghem,Van Wonterghem,,86,75,64,41,76,100,103,27,57,426,68
SWE 8912,Hastenpflug,Hastenpflug,,47,62,100,30,95,92,111,47,60,433,69
FRA 9099,Karadjian,Thibaud,,69,71,102,113,75,60,49,56,53,433,70
USA 9027,Guy,Na,,64,52,72,85,81,97,45,61,63,438,71
AUS 9028,Earle,Darren,,52,32,41,87,103,95,65,85,125,457,72
FRA 9031,Lucienne,Lucienne,,82,72,94,54,30,68,105,100,66,466,73
GBR 8945,Rabbitts,Kenney,,80,65,50,105,99,105,75,57,43,469,74
FRA 8909,Doerenbecher,Wolff,,81,73,73,76,72,64,41,81,93,480,75
GER 8825,Troch,Koenig,,53,56,80,110,104,89,79,50,82,489,76
FRA 9010,Carvallo,Carvallo,,50,84,86,75,50,DSQ,124,75,72,492,77
FRA 8733,Gellusseau,Caris,,93,106,69,98,69,79,70,23,90,493,78
SWE 8651,Andersson,Thornstrom,,100,78,66,65,71,72,84,93,61,497,79
SWE 8787,Bjerke,Reinhold,,102,83,89,53,59,83,72,79,74,503,80
FRA 8961,Vibert,Lapeyre,,76,77,61,90,65,146,67,86,88,520,81
GER 8903,Kwee,Spotter,,90,69,83,108,77,138,64,66,75,524,82
GBR 8905,Stuart Turnbull,Jason Lunn,,73,59,67,84,64,81,DNF,DNC,99,527,83
GER 8777,Olbrysch,Sanguino-Petersen,,95,86,59,82,78,52,82,103,111,534,84
FRA 8509,Le Morvan,Bessias,,78,RDG,RDG,89,100,67,80,69,92,543,85
AUS 8811,Hansen,White,,87,89,88,80,SCP,85,77,80,68,561,86
SUI 9060,Houriet,Donze,,98,87,105,100,113,39,48,91,103,566,87
USA 8084,Ross,Watermann,,46,61,DSQ,83,93,149,104,107,77,571,88
GBR 8925,Martin Wedge,Scott Allen,,67,95,75,91,41,137,99,109,119,577,89
FRA 8773,Markt,Conversy,,106,92,85,116,83,74,83,78,101,596,90
FRA 9019,Brenet,Peter,,129,126,151,101,85,76,52,73,86,599,91
FRA 9068,De Lisle,Brillaud,,59,91,63,118,116,DSQ,55,129,97,599,92
GBR 8955,Iliffe,Lake,,43,68,DNF,160,130,141,94,37,91,604,93
BEL 9066,De Pauw,Jourquin,,91,SCP,128,72,94,71,122,64,100,604,94
FRA 8362,Magret,Glade,,112,134,133,123,96,88,51,62,78,610,95
FRA 8847,Jeanne,Agrapart,,74,120,114,106,73,90,DSQ,71,87,615,96
USA 8831,Lee,Von Grey,,79,111,54,122,101,132,87,110,80,622,97
FRA 8950,Quemard,Victor,,148,129,106,93,91,80,71,87,95,623,98
FRA 8640,Chartier,Chartier,,110,80,77,92,98,142,112,104,70,631,99
GBR 9032,Blyth,Aitken,,85,63,92,95,114,102,121,92,112,641,100
FRA 8677,Michel,De Kergariou,,108,109,131,63,127,61,102,98,102,643,101
GBR 8881,Deane,Ferguson,,70,DNF,RDG,73,107,116,123,70,104,646,102
GBR 9013,Emery,Spratling,,71,DNF,62,139,122,117,85,96,94,647,103
GBR 8860,Johnson,Merry,,101,103,121,97,108,93,136,45,137,668,104
ITA 8743,Giraldi,Giraldi,,121,88,93,127,84,112,118,94,79,668,105
FRA 8729,Juin,Lafortune,,131,121,138,115,145,37,100,76,96,676,106
FRA 8695,Puissant,Le Guen,,156,142,147,77,90,82,89,119,81,680,107
FRA 8896,Martenot,Lafortune,,134,116,122,96,88,91,107,114,71,683,108
FRA 9044,Devaux,Moignard,,111,114,95,121,156,108,96,95,69,688,109
FRA 8752,Monnier,Plathier,,92,132,103,74,121,103,101,118,98,689,110
CAN 8755,Trainor,Jennings,,123,141,124,102,97,110,115,55,105,707,111
FRA 8971,Daguzan,Poirier,,94,93,116,141,92,147,66,127,122,710,112
FRA 8676,Dechauffour,Gendry,,84,85,84,64,136,139,131,137,132,716,113
SUI 8727,Nydegger,Nydegger,,141,139,107,88,110,99,106,101,118,729,114
USA 6931,Cacavas,Mc Kinney,,144,115,117,71,125,104,109,90,124,730,115
FRA 8711,Maupay,Caminade,,143,110,112,138,133,77,95,97,115,739,116
GER 8843,Kraft,Heimburger,,97,112,87,104,120,87,137,133,136,740,117
GER 8966,Steding,Steding,,118,113,115,109,80,101,130,106,123,742,118
BEL 8742,Decoq,Bernon,,104,122,111,154,89,96,81,139,147,742,119
FRA 9086,Neidhart,Gougeon,,117,81,96,137,132,107,116,120,109,746,120
FRA 8902,Tilly,Tilly,,126,137,99,111,123,145,147,74,83,753,121
FRA 9056,Niddam,Ferrois,,142,127,98,136,112,86,86,131,114,754,122
GBR 8749,Milton,Milton,,83,90,81,132,129,144,127,113,135,755,123
GBR 8432,Colvin,Moss,,132,101,109,SCP,102,154,92,112,133,760,124
FRA 8566,Thiberge,Guezennec,,103,82,134,117,124,84,141,144,126,770,125
FRA 8687,Hermieu,Simonnot,,89,102,DSQ,146,119,106,132,115,107,770,126
FRA 9012,Dini,Thery,,DNF,DNF,42,67,87,113,93,DNS,DNC,780,127
AUS 8321,Vivian,Pidsley,,107,DNF,90,143,106,118,119,123,120,783,128
FRA 9098,Delsemme,Lebouche,,105,108,152,151,117,109,125,105,127,796,129
GER 9000,Wilts,Matscheroth,,113,79,118,130,163,DNF,133,130,110,813,130
GER 8530,Von Mertens,Doerr,,120,123,139,134,128,121,108,111,106,817,131
FRA 8869,Brillaud,Boyer,,157,136,113,99,111,140,110,135,129,833,132
FRA 9084,Dechauffour,Dechauffour,,115,98,129,128,DNF,156,128,121,117,836,133
GER 8533,Bussenius,Bussenius,,138,118,127,119,118,115,135,116,128,841,134
FRA 8980,Boiry,Doerenbecher,,152,140,135,114,109,114,120,147,121,853,135
GER 8428,Lemps,Hartmann,,128,128,DNF,120,SCP,124,98,126,140,855,136
FRA 8802,Viaud,Viaud,,DNS,DNF,136,81,105,153,140,DSQ,67,871,137
FRA 8949,Duquesne,Duquesne,,119,125,119,150,135,122,114,145,146,879,138
IRL 7771,Jones,Frost,,130,105,101,142,131,158,DNF,DNC,113,880,139
GBR 9077,Mee,Mee,,161,96,91,DNF,155,148,129,124,142,885,140
AUS 8943,Bowden,Mc Lean,,96,138,125,131,141,125,134,136,DNF,885,141
FRA 8717,Vassor,Chene,,127,145,108,148,146,DNF,97,152,130,901,142
GER 6817,Schneidewind,Schurmann,,136,119,148,140,138,111,138,143,151,925,143
ITA 8671,Piacquado,Messina,,158,DNF,97,125,144,152,144,117,148,927,144
FRA 8567,Coulmin,Peter,,109,104,130,167,134,155,DNF,159,138,929,145
FRA 8342,Chazelle,Legay,,137,124,150,135,137,159,139,142,116,930,146
SWE 9092,Hastenpflug,Hastenpflug,,125,151,144,124,161,131,117,138,DNC,930,147
FRA 9081,Lehmann,Edel,,135,131,146,129,142,119,146,DSQ,153,948,148
FRA 8705,Vocanson,Muniglia,,147,DNF,110,103,154,133,DNF,149,155,951,149
FRA 8704,Banahan,Casanova,,SCP,117,123,157,151,120,DNF,151,150,956,150
FRA 8032,Le Roy,Driss,,151,144,137,162,164,135,91,141,164,961,151
GBR 8694,White,Ischerwood,,122,99,104,133,140,DNF,DNC,DNC,DNF,976,152
GBR 8726,Duncanson,Moss,,99,94,DNF,145,139,DSQ,DNF,122,DNF,977,153
FRA 8542,Leroy,Guitteny,,165,130,156,159,158,136,142,134,144,1000,154
FRA 8880,Mendes,Mouclier,,133,148,132,112,DNF,DNF,DNF,150,139,1003,155
FRA 8326,De Monteil,Essertel,,150,DNF,141,126,149,143,DNF,140,154,1003,156
FRA 8429,Zimmowitch,Zimmowitch,,164,133,160,156,143,134,143,DNF,134,1003,157
BEL 9064,Vandersteen,Maheux,,124,149,145,147,DSQ,123,DNC,DNC,143,1020,158
GER 8772,Tanner,Tanner,,149,DNF,DNF,DNF,DNF,94,113,DNC,108,1031,159
FRA 8491,Michel,Dechauffour,,DNF,156,162,153,DNF,161,145,132,131,1040,160
FRA 8699,Ducros,Rault,,145,154,143,161,153,151,DNF,DNF,141,1048,161
FRA 8541,Baron,Farina,,DNF,161,155,DNF,115,126,DNF,128,DNC,1063,162
FRA 8748,Carvallo,Rauly,,140,143,153,152,152,DNF,DNF,155,DNC,1084,163
FRA 8139,Le Delaizir,Le Delaizir,,154,155,154,168,162,150,DNF,157,161,1093,164
FRA 6313,Morel,Morel,,160,162,157,DNS,150,130,DNF,154,DNC,1102,165
FRA 7789,Molisset,Sotty,,163,160,158,164,159,DNF,DNF,153,149,1106,166
GBR 8907,Berry,Barnes,,114,SCP,DNF,DNF,DNF,157,DNF,DSQ,145,1135,167
GBR 8745,Mc Gale,Cull,,159,DNF,142,163,147,162,DNC,DNC,DNC,1151,168
FRA 9014,Gibert,Castillon,,DNF,150,159,DNF,DNF,160,DNF,148,157,1152,169
FRA 9033,Hue,Hue,,167,146,DNF,144,DSQ,129,DNF,DNS,DNC,1153,170
FRA 4479,Cadoret,Coquelet,,DNF,DNS,DNF,DNF,148,128,DNF,158,156,1157,171
FRA 8301,Blaison,Walster,,DNF,DNS,166,149,160,DNF,DNF,146,159,1158,172
FRA 8401,Renoux,Kopka,,168,158,165,165,165,DNF,DNF,DNS,160,1170,173
FRA 8369,De Pommery,Janiak,,DNF,DNF,161,166,DNF,DNF,DNF,125,158,1177,174
FRA 7235,Veron,Pascal,,153,152,DNF,DNF,DNF,DSQ,DNF,156,152,1180,175
FRA 8844,Picou,Bouton,,146,135,149,DNF,DNF,DNF,DNC,DNC,DNC,1186,176
GER 8052,Feuerhake,Nehrenberg,,162,157,DNF,158,157,DNF,DNF,DNF,DNC,1201,177
BEL 8543,Mineur,Boucau,,DNF,DNF,164,155,169,DNF,DNF,DSQ,162,1217,178
FRA 8400,Morin,Delaunay,,DNF,DNF,163,DNF,168,DNF,DNF,160,165,1223,179
FRA 8140,Bradfer,Bradfer,,DNF,159,DSQ,DNF,166,DNF,DNF,189,163,1244,180
FRA 8701,Huchet,Huchet,,166,153,DNF,DNC,DNC,DNC,DNC,DNC,DNC,1264,181
FRA 8885,Dupont,Ancelot,,DSQ,DNF,140,DNF,DNF,DNF,DNC,DNC,DNC,1274,182
FRA 7740,Dupuis,Dupuis,,DNF,DNF,DNF,DNF,167,DNF,DNF,189,166,1278,183
FRA 8895,Bendiyan,Bendiyan,,155,DNF,DNF,DNF,DNF,DNF,DNC,DNC,DNC,1289,184
FRA 8455,Michel,Golenko,,DNS,DNS,167,DNF,DNF,DNF,DNC,DNC,DNC,1301,185
FRA 8484,Blanchard,Duplouy,,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,1323,186
FRA 8871,Preel,Riche,,DNF,DNC,DNF,DNF,DNF,DNF,DNC,DNC,DNC,1323,187
FRA 7396,Soinard,Soinard,,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNC,DNC,1323,188
