Competitor,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,Σ,,Regatta Rank
 FRA9099,KARADJIAN,THIBAUD,69,71,102,113,75,60,49,56,53,433,70
 USA9027,GUY,NA,64,52,72,85,81,97,45,61,63,438,71
 AUS9028,EARLE,DARREN,52,32,41,87,103,95,65,85,125,457,72
 FRA9031,LUCIENNE,LUCIENNE,82,72,94,54,30,68,105,100,66,466,73
 GBR8945,RABBITTS,KENNEY,80,65,50,105,99,105,75,57,43,469,74
 FRA8909,DOERENBECHER,WOLFF,81,73,73,76,72,64,41,81,93,480,75
 GER8825,TROCH,KOENIG,53,56,80,110,104,89,79,50,82,489,76
 FRA9010,CARVALLO,CARVALLO,50,84,86,75,50,DSQ,124,75,72,492,77
 FRA8733,GELLUSSEAU,CARIS,93,106,69,98,69,79,70,23,90,493,78
 SWE8651,ANDERSSON,THORNSTROM,100,78,66,65,71,72,84,93,61,497,79
 SWE8787,BJERKE,REINHOLD,102,83,89,53,59,83,72,79,74,503,80
 FRA8961,VIBERT,LAPEYRE,76,77,61,90,65,146,67,86,88,520,81
 GER8903,KWEE,SPOTTER,90,69,83,108,77,138,64,66,75,524,82
 GBR8905,TURNBULL,LUNN,73,59,67,84,64,81,DNF,DNC,99,527,83
 GER8777,OLBRYSCH,SANGUINO-PETERSEN,95,86,59,82,78,52,82,103,111,534,84
 FRA8509,LE MORVAN,BESSIAS,78,RDG,RDG,89,100,67,80,69,92,543,85
 AUS8811,HANSEN,WHITE,87,89,88,80,SCP,85,77,80,68,561,86
 SUI9060,HOURIET,DONZE,98,87,105,100,113,39,48,91,103,566,87
 USA8084,ROSS,WATERMANN,46,61,DSQ,83,93,149,104,107,77,571,88
 GBR8925,WEDGE,ALLEN,67,95,75,91,41,137,99,109,119,577,89
 FRA8773,MARKT,CONVERSY,106,92,85,116,83,74,83,78,101,596,90
 FRA9019,BRENET,PETER,129,126,151,101,85,76,52,73,86,599,91
 FRA9068,DE LISLE,BRILLAUD,59,91,63,118,116,DSQ,55,129,97,599,92
 GBR8955,ILIFFE,LAKE,43,68,DNF,160,130,141,94,37,91,604,93
 BEL9066,DE PAUW,JOURQUIN,91,SCP,128,72,94,71,122,64,100,604,94
 FRA8362,MAGRET,GLADE,112,134,133,123,96,88,51,62,78,610,95
 FRA8847,JEANNE,AGRAPART,74,120,114,106,73,90,DSQ,71,87,615,96
 USA8831,LEE,VON GREY,79,111,54,122,101,132,87,110,80,622,97
 FRA8950,QUEMARD,VICTOR,148,129,106,93,91,80,71,87,95,623,98
 FRA8640,CHARTIER,CHARTIER,110,80,77,92,98,142,112,104,70,631,99
 GBR9032,BLYTH,AITKEN,85,63,92,95,114,102,121,92,112,641,100
 FRA8677,MICHEL,DE KERGARIOU,108,109,131,63,127,61,102,98,102,643,101
 GBR8881,DEANE,FERGUSON,70,DNF,RDG,73,107,116,123,70,104,646,102
 GBR9013,EMERY,SPRATLING,71,DNF,62,139,122,117,85,96,94,647,103
 GBR8860,JOHNSON,MERRY,101,103,121,97,108,93,136,45,137,668,104
 ITA8743,GIRALDI,GIRALDI,121,88,93,127,84,112,118,94,79,668,105
 FRA8729,JUIN,LAFORTUNE,131,121,138,115,145,37,100,76,96,676,106
 FRA8695,PUISSANT,LE GUEN,156,142,147,77,90,82,89,119,81,680,107
 FRA8896,MARTENOT,LAFORTUNE,134,116,122,96,88,91,107,114,71,683,108
 FRA9044,DEVAUX,MOIGNARD,111,114,95,121,156,108,96,95,69,688,109
 FRA8752,MONNIER,PLATHIER,92,132,103,74,121,103,101,118,98,689,110
 CAN8755,TRAINOR,JENNINGS,123,141,124,102,97,110,115,55,105,707,111
 FRA8971,DAGUZAN,POIRIER,94,93,116,141,92,147,66,127,122,710,112
 FRA8676,DECHAUFFOUR,GENDRY,84,85,84,64,136,139,131,137,132,716,113
 SUI8727,NYDEGGER,NYDEGGER,141,139,107,88,110,99,106,101,118,729,114
 USA6931,CACAVAS,MC KINNEY,144,115,117,71,125,104,109,90,124,730,115
 FRA8711,MAUPAY,CAMINADE,143,110,112,138,133,77,95,97,115,739,116
 GER8843,KRAFT,HEIMBURGER,97,112,87,104,120,87,137,133,136,740,117
 GER8966,STEDING,STEDING,118,113,115,109,80,101,130,106,123,742,118
 BEL8742,DECOQ,BERNON,104,122,111,154,89,96,81,139,147,742,119
 FRA9086,NEIDHART,GOUGEON,117,81,96,137,132,107,116,120,109,746,120
 FRA8902,TILLY,TILLY,126,137,99,111,123,145,147,74,83,753,121
 FRA9056,NIDDAM,FERROIS,142,127,98,136,112,86,86,131,114,754,122
 GBR8749,MILTON,MILTON,83,90,81,132,129,144,127,113,135,755,123
 GBR8432,COLVIN,MOSS,132,101,109,SCP,102,154,92,112,133,760,124
 FRA8566,THIBERGE,GUEZENNEC,103,82,134,117,124,84,141,144,126,770,125
 FRA8687,HERMIEU,SIMONNOT,89,102,DSQ,146,119,106,132,115,107,770,126
 FRA9012,DINI,THERY,DNF,DNF,42,67,87,113,93,DNS,DNC,780,127
 AUS8321,VIVIAN,PIDSLEY,107,DNF,90,143,106,118,119,123,120,783,128
 FRA9098,DELSEMME,LEBOUCHE,105,108,152,151,117,109,125,105,127,796,129
 GER9000,WILTS,MATSCHEROTH,113,79,118,130,163,DNF,133,130,110,813,130
 GER8530,VON MERTENS,DOERR,120,123,139,134,128,121,108,111,106,817,131
 FRA8869,BRILLAUD,BOYER,157,136,113,99,111,140,110,135,129,833,132
 FRA9084,DECHAUFFOUR,DECHAUFFOUR,115,98,129,128,DNF,156,128,121,117,836,133
 GER8533,BUSSENIUS,BUSSENIUS,138,118,127,119,118,115,135,116,128,841,134
 FRA8980,BOIRY,DOERENBECHER,152,140,135,114,109,114,120,147,121,853,135
 GER8428,LEMPS,HARTMANN,128,128,DNF,120,SCP,124,98,126,140,855,136
 FRA8802,VIAUD,VIAUD,DNS,DNF,136,81,105,153,140,DSQ,67,871,137
 FRA8949,DUQUESNE,DUQUESNE,119,125,119,150,135,122,114,145,146,879,138
 IRL7771,JONES,FROST,130,105,101,142,131,158,DNF,DNC,113,880,139
 GBR9077,MEE,MEE,161,96,91,DNF,155,148,129,124,142,885,140
 AUS8943,BOWDEN,MC LEAN,96,138,125,131,141,125,134,136,DNF,885,141
 FRA8717,VASSOR,CHENE,127,145,108,148,146,DNF,97,152,130,901,142
 GER6817,SCHNEIDEWIND,SCHURMANN,136,119,148,140,138,111,138,143,151,925,143
 ITA8671,PIACQUADO,MESSINA,158,DNF,97,125,144,152,144,117,148,927,144
 FRA8567,COULMIN,PETER,109,104,130,167,134,155,DNF,159,138,929,145
 FRA8342,CHAZELLE,LEGAY,137,124,150,135,137,159,139,142,116,930,146
 SWE9092,HASTENPFLUG,HASTENPFLUG,125,151,144,124,161,131,117,138,DNC,930,147
 FRA9081,LEHMANN,EDEL,135,131,146,129,142,119,146,DSQ,153,948,148
 FRA8705,VOCANSON,MUNIGLIA,147,DNF,110,103,154,133,DNF,149,155,951,149
 FRA8704,BANAHAN,CASANOVA,SCP,117,123,157,151,120,DNF,151,150,956,150
 FRA8032,LE ROY,DRISS,151,144,137,162,164,135,91,141,164,961,151
 GBR8694,WHITE,ISCHERWOOD,122,99,104,133,140,DNF,DNC,DNC,DNF,976,152
 GBR8726,DUNCANSON,MOSS,99,94,DNF,145,139,DSQ,DNF,122,DNF,977,153
 FRA8542,LEROY,GUITTENY,165,130,156,159,158,136,142,134,144,1000,154
 FRA8880,MENDES,MOUCLIER,133,148,132,112,DNF,DNF,DNF,150,139,1003,155
 FRA8326,DE MONTEIL,ESSERTEL,150,DNF,141,126,149,143,DNF,140,154,1003,156
 FRA8429,ZIMMOWITCH,ZIMMOWITCH,164,133,160,156,143,134,143,DNF,134,1003,157
 BEL9064,VANDERSTEEN,MAHEUX,124,149,145,147,DSQ,123,DNC,DNC,143,1020,158
 GER8772,TANNER,TANNER,149,DNF,DNF,DNF,DNF,94,113,DNC,108,1031,159
 FRA8491,MICHEL,DECHAUFFOUR,DNF,156,162,153,DNF,161,145,132,131,1040,160
 FRA8699,DUCROS,RAULT,145,154,143,161,153,151,DNF,DNF,141,1048,161
 FRA8541,BARON,FARINA,DNF,161,155,DNF,115,126,DNF,128,DNC,1063,162
 FRA8748,CARVALLO,RAULY,140,143,153,152,152,DNF,DNF,155,DNC,1084,163
 FRA8139,LE DELAIZIR,LE DELAIZIR,154,155,154,168,162,150,DNF,157,161,1093,164
 FRA6313,MOREL,MOREL,160,162,157,DNS,150,130,DNF,154,DNC,1102,165
 FRA7789,MOLISSET,SOTTY,163,160,158,164,159,DNF,DNF,153,149,1106,166
 GBR8907,BERRY,BARNES,114,SCP,DNF,DNF,DNF,157,DNF,DSQ,145,1135,167
 GBR8745,MC GALE,CULL,159,DNF,142,163,147,162,DNC,DNC,DNC,1151,168
 FRA9014,GIBERT,CASTILLON,DNF,150,159,DNF,DNF,160,DNF,148,157,1152,169
 FRA9033,HUE,HUE,167,146,DNF,144,DSQ,129,DNF,DNS,DNC,1153,170
 FRA4479,CADORET,COQUELET,DNF,DNS,DNF,DNF,148,128,DNF,158,156,1157,171
 FRA8301,BLAISON,WALSTER,DNF,DNS,166,149,160,DNF,DNF,146,159,1158,172
 FRA8401,RENOUX,KOPKA,168,158,165,165,165,DNF,DNF,DNS,160,1170,173
 FRA8369,DE POMMERY,JANIAK,DNF,DNF,161,166,DNF,DNF,DNF,125,158,1177,174
 FRA7235,VERON,PASCAL,153,152,DNF,DNF,DNF,DSQ,DNF,156,152,1180,175
 FRA8844,PICOU,BOUTON,146,135,149,DNF,DNF,DNF,DNC,DNC,DNC,1186,176
 GER8052,FEUERHAKE,NEHRENBERG,162,157,DNF,158,157,DNF,DNF,DNF,DNC,1201,177
 BEL8543,MINEUR,BOUCAU,DNF,DNF,164,155,169,DNF,DNF,DSQ,162,1217,178
 FRA8400,MORIN,DELAUNAY,DNF,DNF,163,DNF,168,DNF,DNF,160,165,1223,179
 FRA8140,BRADFER,BRADFER,DNF,159,DSQ,DNF,166,DNF,DNF,189,163,1244,180
 FRA8701,HUCHET,HUCHET,166,153,DNF,DNC,DNC,DNC,DNC,DNC,DNC,1264,181
 FRA8885,DUPONT,ANCELOT,DSQ,DNF,140,DNF,DNF,DNF,DNC,DNC,DNC,1274,182
 FRA7740,DUPUIS,DUPUIS,DNF,DNF,DNF,DNF,167,DNF,DNF,189,166,1278,183
 FRA8895,BENDIYAN,BENDIYAN,155,DNF,DNF,DNF,DNF,DNF,DNC,DNC,DNC,1289,184
 FRA8455,MICHEL,GOLENKO,DNS,DNS,167,DNF,DNF,DNF,DNC,DNC,DNC,1301,185
 FRA8484,BLANCHARD,DUPLOUY,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,1323,186
 FRA8871,PREEL,RICHE,DNF,DNC,DNF,DNF,DNF,DNF,DNC,DNC,DNC,1323,187
 FRA7396,SOINARD,SOINARD,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNC,DNC,1323,188
