Sail,Helm,Crew,Club/Country,r.1,r.2,r.3,r.4,r.5,r.6,r.7,r.8,r.9,Points total,Netto P,Position
FRA 9075,Philippe Boite,Pierre Jean Gallo,C V ST QUENTIN - France S R HAVRE,7,40,28,-61,10,16,8,53,(DSQ 189),412,162,25
AUS 9036,Michael Quink,Daryl Roos,WSC - Australia,16,20,7,-48,17,-47,31,26,45,257,162,26
FRA 8900,Serge Gubri,Thibault Di Pede,C V SEINE-PORT - France C V SEINE-PORT,(DNF 189),57,-60,16,3,27,47,3,32,434,185,27
GBR 9057,Chris Lewis,Dan Parsons,WHITSTABLE YACHT CLUB - Great Britain,25,27,33,20,-52,35,26,19,-36,273,185,28
GER 8990,Frieder Achterberg,Wolfgang Stuecki,DTYC - Germany,18,48,18,23,24,-49,-54,35,23,292,189,29
FRA 9050,Herve De Kergariou,Basile Geron,CN ARRADON - France S N P H,36,36,27,-51,47,12,23,-52,10,294,191,30
GER 8940,Martin Kittsteiner,Oliver Stieglite,HSC - Germany,26,30,47,45,-70,25,-56,13,16,328,202,31
DEN 8440,Mikkel Christiansen,Mads Christiansen,AALBORG SEJLKLUB - Denmark,38,35,34,26,-48,-40,12,32,33,298,210,32
SUI 9096,Cedric Bart,Laurent Grob,CVB - Switzerland,54,26,43,27,25,10,-63,-59,26,333,211,33
GBR 8963,Martin Hodson,Adrian Miles,STONE SAILING CLUB - Great Britain,29,21,44,38,-49,-65,34,20,25,325,211,34
GBR 9085,Matt Hart,Daniel Hart,SHOTELEY SAILING CLUB - Great Britain,41,49,24,-57,28,23,37,15,-59,333,217,35
USA 8083,Mattew Barry,Thomas Barrows,United States Of America,32,31,36,-70,8,-78,40,40,31,366,218,36
FRA 8716,Aline Martin,Fabrice Toupet,C V SEINE-PORT - France C V SEINE-PORT,(DSQ 189),53,-82,14,31,17,42,24,38,490,219,37
USA 9041,Henry Amthor,Romey Dustin,HAMPTON YC - United States Of America,-65,38,23,44,9,34,32,-77,48,370,228,38
AUS 8801,Peter Chappell,David Castles,Australia,34,28,25,-94,27,51,35,-58,42,394,242,39
SUI 8954,Uel Marti,Philippe Jacot,Switzerland,28,-50,39,-46,34,42,38,30,34,341,245,40
FRA 8904,Nicolas Martin,Julien Lafortune,C V SEINE-PORT - France C V SEINE-PORT,-77,46,-52,49,33,44,22,51,5,379,250,41
GER 9040,Nørbert Dasenbrook,Sven Meier,KSW - Germany,-55,42,38,28,-54,46,14,43,54,374,265,42
RSA 8486,Thomas Funke,Peter Funke,PYC - South Africa,39,-70,58,37,61,26,36,12,-62,401,269,43
SUI 8569,Rene Betschen,Lionel Hollinger,CNB - Switzerland,21,(DNF 189),19,56,-74,69,59,16,29,532,269,44
AUS 8817,Douglas Hagan,Mickael Duffield,Australia,33,39,35,-78,-86,59,27,42,39,438,274,45
GER 8975,Alexander Holzapfel,Stefan Worm,POST SPORTVEREIN KOBLENZ - Germany,(DSQ 189),29,26,31,23,56,88,-89,22,553,275,46
USA 9009,Bruce Edwards,David Shelton,SANTA CRUZ YACHT CLUB - United States Of America,23,24,21,52,38,58,(DSQ 189),-72,65,542,281,47
GER 9011,Micki Daisenberger,Jonas Nissen,DTYC - Germany,42,44,32,34,-62,36,58,-67,44,419,290,48
USA 8830,Holt Condon,Reeve Dunne,ST FRANCIS YC - United States Of America,51,-67,45,42,40,11,-73,63,41,433,293,49
GER 8928,Stephan Schweiger,Thorsten Koch,SCLW - Germany,-62,55,-76,35,57,43,16,48,46,438,300,50
GER 9100,Hendrik Schultz,Ute Oberlander,SCLW - Germany,-61,-58,55,17,56,41,53,36,52,429,310,51
FIN 8768,Jukka Nieminen,Antti Salonen,SP - Finland,56,47,46,55,45,32,(DSQ 189),33,(DSQ 189),692,314,52
GER 9026,Hasso Plattner,Peter Alarie,KIEL - Germany,44,23,56,86,29,55,-90,-102,37,522,330,53
FRA 8870,Christian Silvestre,Nicolas Auberger,Y C ILE DE FRANCE - France Y C Grenoble Chara,68,-97,74,18,60,48,-78,54,15,512,337,54
GBR 8835,Charlie Walters,Dougal Cram,DWSC - Great Britain,45,45,49,39,51,53,-76,(--- 189),55,602,337,55
GBR 9093,Tudor Owen,Kieth Borders,WHITSTABLE YACHT CLUB - Great Britain,58,74,40,-79,(DNF 189),30,68,25,49,612,344,56
FRA 8948,Nicolas Guillou,Henry Chevet,S N P H - France S N P H,72,54,51,29,53,-98,57,-84,50,548,366,57
AUS 8855,Mark Stowell,Shane Attwell,ROYAL FRESHWATER BAY YACHT CLUB - Australia,75,51,37,32,66,-127,43,65,-76,572,369,58
CAN 8970,Bob Tennant,Rich Mundell,Canada,40,37,79,69,39,54,-126,-83,51,578,369,59
AUS 8920,Jeffrey Robinson,Bryce Penfold,TASC - Australia,48,66,53,58,42,73,30,-108,-84,562,370,60
FRA 8683,Carter Jackson,Geraud Lafortune,MANLY YACHT CLUB - France C V SEINE-PORT,57,43,-68,40,-67,63,60,49,58,505,370,61
FRA 8515,Nicolas Croce,Florian Faucheux,C N CANET PERPIGNAN - France C N CANET PERPIGNAN,49,34,57,68,-82,-75,61,68,35,529,372,62
USA 8554,Aj Conrads,Pat Diola,ST FRANCIS YACHT CLUB - United States Of America,63,-76,-78,43,63,31,69,34,73,530,376,63
FRA 8564,Sylvain Ratouis,Antoine Ratouis,B N DE SCIEZ - France B N DE SCIEZ,-116,100,-120,36,43,62,46,46,47,616,380,64
FRA 9024,Claude Gachet,Kleber Valery,Y C Grenoble Chara - France Y C Grenoble Chara,-66,64,65,33,58,50,50,-88,64,538,384,65
RSA 8719,Mark Biaglo,Warwack Ham,South Africa,-88,60,71,59,68,33,74,39,-89,581,404,66
GER 9029,Juergen Waldheim,Thomas Jung,PYC/YCLA - Germany,60,(DSQ 189),70,66,46,70,62,41,-85,689,415,67
DEN 8828,Michael Van Wonterghem,Fabiola Van Wonterghem,SOROSEJIFORENING - Denmark,86,75,64,41,76,-100,-103,27,57,629,426,68
SWE 8912,Tom Hastenpflug,Toni Hastenpflug,Sweden,47,62,-100,30,95,92,-111,47,60,644,433,69
FRA 9099,Alain Karadjian,Cyril Thibaud,C V ST QUENTIN - France G S LA ROCHELLE,69,71,-102,-113,75,60,49,56,53,648,433,70
USA 9027,Guy Hubert,Erwan Grossmann,ABYC - United States Of America S N TRINITE S/MER,64,52,72,-85,81,-97,45,61,63,620,438,71
AUS 9028,Alexander Earle,Gilbert Darren,ROYAL QUEESLAND YACHT CLUB - Australia,52,32,41,87,-103,95,65,85,-125,685,457,72
FRA 9031,Philippe Lucienne,Vivien Lucienne,C N C ST OUEN - France C N C ST OUEN,82,72,94,54,30,68,-105,-100,66,671,466,73
GBR 8945,Nell Rabbitts,Adam Kenney,BURTON SC - Great Britain,80,65,50,-105,99,-105,75,57,43,679,469,74
FRA 8909,Francis Doerenbecher,Philippe Wolff,C N DE SCIEZ - France AC ALSACE LORRAINE,-81,73,73,76,72,64,41,81,-93,654,480,75
GER 8825,Michael Troch,Eckart Koenig,SGJ - Germany,53,56,80,-110,-104,89,79,50,82,703,489,76
FRA 9010,Baptiste Lafortune,Gilles Carvallo,C V SEINE-PORT - France C N HAUTE SEINE,50,84,86,75,50,(DSQ 189),-124,75,72,805,492,77
FRA 8733,Luc Gellusseau,Frederic Beauchene,CNPA ILE DE RE - France Y C DE LA BAULE,93,-106,69,-98,69,79,70,23,90,697,493,78
SWE 8651,Peter Andersson,Per-Eric Thornstrom,SS VIKEN AGIR - Sweden,-100,78,66,65,71,72,84,-93,61,690,497,79
SWE 8787,Lars Bjerke,Tore Reinhold,BKSS - Sweden,-102,83,-89,53,59,83,72,79,74,694,503,80
FRA 8961,Marc Vibert,Bertrand Lapeyre,C.V.M.L - France S N P H,76,77,61,-90,65,-146,67,86,88,756,520,81
GER 8903,Steve Kwee,Thorsten Spotter,HSC - Germany,90,69,83,-108,77,-138,64,66,75,770,524,82
GBR 8905,Stuart Turnbull,Jason Lunn,BURTON SC - Great Britain,73,59,67,84,64,81,(DNF 189),(--- 189),99,905,527,83
GER 8777,Jens Olbrysch,Franscisco Sanguino-Petersen,HERRSCHINGER SEGELCLUB - Germany,95,86,59,82,78,52,82,-103,-111,748,534,84
FRA 8509,Bastian Le Morvan,Pierre Bessias,ASPTT TROYES - France C N LORIENT,78,RDG 80.50,RDG 80.50,89,-100,67,80,69,-92,736,544,85
AUS 8811,Matthew Hansen,Chris White,RFBYL - Australia,87,-89,-88,80,SCP 84,85,77,80,68,738,561,86
SUI 9060,Catherine Houriet,Gil Donze,YACHT CLUB DE GENEVE - Switzerland,98,87,-105,100,-113,39,48,91,103,784,566,87
USA 8084,Aaron Ross,Rob Watermann,United States Of America,46,61,(DSQ 189),83,93,-149,104,107,77,909,571,88
GBR 8925,Martin Wedge,Scott Allen,RTYC - Great Britain,67,95,75,91,41,-137,99,109,-119,833,577,89
FRA 8773,Philippe Markt,Gael Conversy,Y C BEAULIEU - France Y C BEAULIEU,-106,92,85,-116,83,74,83,78,101,818,596,90
FRA 9019,Veronique Brenet,Jean-Pierre Peter,AC ALSACE LORRAINE - France AC ALSACE LORRAINE,-129,126,-151,101,85,76,52,73,86,879,599,91
FRA 9068,Francois De Lisle,Herve Brillaud,C N FERRET - France C N FERRET,59,91,63,118,116,(DSQ 189),55,-129,97,917,599,92
GBR 8955,Benjamin Iliffe,Simon Lake,RYA - Great Britain,43,68,(DNF 189),-160,130,141,94,37,91,953,604,93
BEL 9066,Geert De Pauw,Koen Jourquin,NNV - Belgium,91,SCP 112,-128,72,94,71,-122,64,100,854,604,94
FRA 8362,Olivier Magret,Mathieu Glade,Y C LONDAIS - France S N DE SANARY,112,-134,-133,123,96,88,51,62,78,877,610,95
FRA 8847,Muriel Jeanne,Franck Agrapart,C N HAUTE SEINE - France C N HAUTE SEINE,74,-120,114,106,73,90,(DSQ 189),71,87,924,615,96
USA 8831,Gary Lee,Paul Von Grey,MISSION BAY YACHT CLUB - United States Of America,79,111,54,-122,101,-132,87,110,80,876,622,97
FRA 8950,Eric Quemard,Antoine Victor,C .V. de PARIS - France Y C CANNES,-148,-129,106,93,91,80,71,87,95,900,623,98
FRA 8640,Simon Chartier,Thomas Chartier,S N DE ST TROPEZ - France S N P H,110,80,77,92,98,-142,-112,104,70,885,631,99
GBR 9032,Jim Blyth,Donald Aitken,LARGO BAY SAILING CLUB - Great Britain,85,63,92,95,-114,102,-121,92,112,876,641,100
FRA 8677,Nicolas Michel,Charles De Kergariou,C V A N NANTES - France C N HAUTE SEINE,108,109,-131,63,-127,61,102,98,102,901,643,101
GBR 8881,Roger Deane,Nial Ferguson,ROCK SC - Great Britain,70,(DNF 189),RDG 106.90,73,107,116,-123,70,104,"958,9","646,9",102
GBR 9013,Phil Emery,Dan Spratling,WHITSTABLE YC - Great Britain,71,(DNF 189),62,-139,122,117,85,96,94,975,647,103
GBR 8860,Bobbie Johnson,Tony Merry,BURTON SC - Great Britain,101,103,121,97,108,93,-136,45,-137,941,668,104
ITA 8743,Marco Giraldi,Erica Giraldi,UNIONE VELICA MACCAGNO - Italy,-121,88,93,-127,84,112,118,94,79,916,668,105
FRA 8729,Franck Juin,Jordane Lafortune,LS VIGNEUX - France C V SEINE-PORT,131,121,-138,115,-145,37,100,76,96,959,676,106
FRA 8695,Jean-Guy Puissant,Bernard Le Guen,CV LAC 3 PROVINCES - France DAUPHINS WIND JOCON.,-156,142,-147,77,90,82,89,119,81,983,680,107
FRA 8896,Christian Martenot,Chloe Lafortune,C V SEINE-PORT - France C V SEINE-PORT,-134,116,-122,96,88,91,107,114,71,939,683,108
FRA 9044,Mathieu Devaux,Philippe Dubuc,S R FECAMP - France S R FECAMP,111,114,95,-121,-156,108,96,95,69,965,688,109
FRA 8752,Frederic Monnier,Yann Plathier,S A LYONNAIS - France S A LYONNAIS,92,-132,103,74,-121,103,101,118,98,942,689,110
CAN 8755,Brian Trainor,Evan Jennings,KITSILANO YACHT CLUB - Canada,123,-141,-124,102,97,110,115,55,105,972,707,111
FRA 8971,Thierry Daguzan,Arnaud Poirier,S R ROCHELAISES - France EV ROCHELAISE,94,93,116,-141,92,-147,66,127,122,998,710,112
FRA 8676,Valentin Dechauffour,Pierre Gendry,S N O NANTES - France S N O NANTES,84,85,84,64,136,-139,131,-137,132,992,716,113
SUI 8727,Lorenz Nydegger,Martin Nydegger,Switzerland,-141,-139,107,88,110,99,106,101,118,1009,729,114
USA 6931,Stine Cacavas,Bill Mc Kinney,WSASMB - United States Of America,-144,115,117,71,-125,104,109,90,124,999,730,115
FRA 8711,Jerome Maupay,Francois Caminade,Y C Grenoble Chara - France Y C Grenoble Chara,-143,110,112,-138,133,77,95,97,115,1020,739,116
GER 8843,Olivier Kraft,Franck Heimburger,SSCM - Germany,97,112,87,104,120,87,-137,133,-136,1013,740,117
GER 8966,Walter Steding,Hans-Werner Steding,HAMBURGER S C - Germany,118,113,115,109,80,101,-130,106,-123,995,742,118
BEL 8742,Frederic Decoq,Gilles Bernon,SNEH - Belgium,104,122,111,-154,89,96,81,139,-147,1043,742,119
FRA 9086,Elisabeth Neidhart,Matthieu Gougeon,C.V.M.L - France C.V.M.L,117,81,96,-137,-132,107,116,120,109,1015,746,120
FRA 8902,Gerard Tilly,Xavier Tilly,A.S.N. PERROS - France A.S.N. PERROS,126,137,99,111,123,-145,-147,74,83,1045,753,121
FRA 9056,Yves Niddam,Melissa Ferrois,Y C BEAULIEU - France YC POINTE ROUGE,-142,127,98,-136,112,86,86,131,114,1032,754,122
GBR 8749,Alastair Milton,Laurence Milton,HELENSBURG SC - Great Britain,83,90,81,132,129,-144,127,113,-135,1034,755,123
GBR 8432,Alistair Colvin,Alan Moss,LOCH LOMOND SAILING CLUB - Great Britain,132,101,109,SCP 112,102,-154,92,112,-133,1047,760,124
FRA 8566,Olivier Thiberge,Herve Guezennec,C .V. de PARIS - France NPB,103,82,134,117,124,84,-141,-144,126,1055,770,125
FRA 8687,Jean Philippe Hermieu,Christian Simonnot,U S TROPEZIENNE - France Y C TOULON,89,102,(DSQ 189),-146,119,106,132,115,107,1105,770,126
FRA 9012,Arnaud Dini,Guillaume Thery,YC POINTE ROUGE - France S N BANDOL,(DNF 189),(DNF 189),42,67,87,113,93,DNS 189,--- 189,1158,780,127
AUS 8321,Marcos Vivian,Soggy Pidsley,RFBYC - Australia,107,(DNF 189),90,-143,106,118,119,123,120,1115,783,128
FRA 9098,Michel Delsemme,Raphael Lebouche,S N DE ST TROPEZ - France S N DE ST TROPEZ,105,108,-152,-151,117,109,125,105,127,1099,796,129
GER 9000,Enno Wilts,Pia Matscheroth,OSG - Germany,113,79,118,130,-163,(DNF 189),133,130,110,1165,813,130
GER 8530,Alexander Von Mertens,Christian Doerr,BSV - Germany,120,123,-139,-134,128,121,108,111,106,1090,817,131
FRA 8869,Philippe Brillaud,Emmanuel Boyer,S N TRINITE S/MER - France C V BORDEAUX,-157,136,113,99,111,-140,110,135,129,1130,833,132
FRA 9084,Jacques Dechauffour,Sabine Dechauffour,S N O NANTES - France S N O NANTES,115,98,129,128,(DNF 189),-156,128,121,117,1181,836,133
GER 8533,Roger Bussenius,Robert Bussenius,SCOH - Germany,-138,118,127,119,118,115,-135,116,128,1114,841,134
FRA 8980,Michel Boiry,Yvan Doerenbecher,C .V. de PARIS - France C N DE SCIEZ,-152,140,135,114,109,114,120,-147,121,1152,853,135
GER 8428,Christian Lemps,Birgit Hartmann,HSC HAMBURG - Germany,128,128,(DNF 189),120,SCP 131,124,98,126,-140,1184,855,136
FRA 8802,Pascal Viaud,Fabrice Bouton,S R ROCHELAISES - France S R ROCHELAISES,(DNS 189),(DNF 189),136,81,105,153,140,DSQ 189,67,1249,871,137
FRA 8949,Philippe Duquesne,Laurent Duquesne,S N O NANTES - France S R ROCHELAISES,119,125,119,-150,135,122,114,145,-146,1175,879,138
IRL 7771,Brian Jones,Gary Frost,MONKSTOWN BAY SAILING CLUB - Ireland,130,105,101,142,131,158,(DNF 189),(--- 189),113,1258,880,139
GBR 9077,Peter Mee,James Mee,REAL CLUB NAUTICO DE PALMA - Great Britain,-161,96,91,(DNF 189),155,148,129,124,142,1235,885,140
AUS 8943,Brett Bowden,Alexandre Nevo,ROYAL B RIGHTON YACHT CLUB - Australia ASPTT LA ROCHELLE,96,138,125,131,-141,125,134,136,(DNF 189),1215,885,141
FRA 8717,Eric Vassor,Pierre Yves Chene,USAM VOILE - France USAM VOILE,127,145,108,148,146,(DNF 189),97,-152,130,1242,901,142
GER 6817,Ralf Schneidewind,Oliver Schurmann,SLRV - Germany,136,119,-148,140,138,111,138,143,-151,1224,925,143
ITA 8671,Giacinto Piacquado,Andrea Messina,YACHT CLUB CERN - Italy,-158,(DNF 189),97,125,144,152,144,117,148,1274,927,144
FRA 8567,Pierre-Jerome Coulmin,Vincent Peter,WIND 14 - France WIND 14,109,104,130,-167,134,155,(DNF 189),159,138,1285,929,145
FRA 8342,Bertrand Chazelle,Nicolas Legay,C N TOUQUET - France C V ST QUENTIN,137,124,-150,135,137,-159,139,142,116,1239,930,146
SWE 9092,Knut Hastenpflug,Jana Hastenpflug,SSAV - Sweden,125,151,144,124,-161,131,117,138,(--- 189),1280,930,147
FRA 9081,Robert Lehmann,Bernard Edel,AC ALSACE LORRAINE - France AC ALSACE LORRAINE,135,131,146,129,142,119,146,(DSQ 189),-153,1290,948,148
FRA 8705,Luc Vocanson,Thierry Muniglia,C.V.M.L - France C.V.M.L,147,(DNF 189),110,103,154,133,(DNF 189),149,155,1329,951,149
FRA 8704,Lawrence Banahan,Gilles Casanova,C N. Saint - Rapha�l - France Club Var Mer,SCP 144,117,123,-157,151,120,(DNF 189),151,150,1302,956,150
FRA 8032,Riwanon Le Roy,Nayl Driss,ASN QUIBERON - France CROCODILES L ELORN,151,144,137,162,-164,135,91,141,-164,1289,961,151
GBR 8694,Jeremy White,Matt Isherwood,DRAYCOTE SC - Great Britain,122,99,104,133,140,(DNF 189),(--- 189),--- 189,DNF 189,1354,976,152
GBR 8726,Fergus Duncanson,Graham Moss,LOCH LOMOND SAILING CLUB - Great Britain,99,94,(DNF 189),145,139,(DSQ 189),DNF 189,122,DNF 189,1355,977,153
FRA 8542,Philippe Leroy,Marc-Henri Guitteny,S N O NANTES - France S N O NANTES,-165,130,156,-159,158,136,142,134,144,1324,1000,154
FRA 8880,Emmanuel Mouclier,Jean Claude Ancelot,C.V.M.L - France S N O NANTES,133,148,132,112,(DNF 189),(DNF 189),DNF 189,150,139,1381,1003,155
FRA 8326,David De Monteil,Aymeric Essertel,S R ROCHELAISES - France SRT,150,(DNF 189),141,126,149,143,(DNF 189),140,154,1381,1003,156
FRA 8429,Jean Charles Zimmowitch,Romaric Zimmowitch,V G A ST MAUR VOILE - France V G A ST MAUR VOILE,-164,133,160,156,143,134,143,(DNF 189),134,1356,1003,157
BEL 9064,Philippe Vandersteen,Yannick Mahieux,SNEH - Belgium,124,149,145,147,(DSQ 189),123,(--- 189),--- 189,143,1398,1020,158
GER 8772,Julia Tanner,Lukas Tanner,Germany,149,(DNF 189),(DNF 189),DNF 189,DNF 189,94,113,--- 189,108,1409,1031,159
FRA 8491,Marion Michel,Anais Dechauffour,C V A N NANTES - France S N O NANTES,(DNF 189),156,162,153,(DNF 189),161,145,132,131,1418,1040,160
FRA 8699,Jean Philippe Ducros,Stanislas Rault,C.V.M.L - France C.V.M.L,145,154,143,161,153,151,(DNF 189),(DNF 189),141,1426,1048,161
FRA 8541,Jean Baron,Michel Farina,U N P CAP BRETON - France U N P CAP BRETON,(DNF 189),161,155,(DNF 189),115,126,DNF 189,128,--- 189,1441,1063,162
FRA 8748,Samuel Carvallo,Sebastien Rauly,C N HAUTE SEINE - France C N HAUTE SEINE,140,143,153,152,152,(DNF 189),(DNF 189),155,--- 189,1462,1084,163
FRA 8139,Frederic le Delaizir,Leo le Delaizir,C N CASTELNAUDARY - France C N CASTELNAUDARY,154,155,154,-168,162,150,(DNF 189),157,161,1450,1093,164
FRA 6313,Denis Morel,Thibaut Morel,C V JULLOUVILLE - France C V JULLOUVILLE,160,162,157,(DNS 189),150,130,(DNF 189),154,--- 189,1480,1102,165
FRA 7789,Francois Molisset,Dominique Louis Sotty,C N BAIE ST VAAST - France C N BAIE ST VAAST,163,160,158,164,159,(DNF 189),(DNF 189),153,149,1484,1106,166
GBR 8907,Jim Berry,David Barnes,PORTISHEAM YSC - Great Britain,114,SCP 152,(DNF 189),(DNF 189),DNF 189,157,DNF 189,DSQ 189,145,1513,1135,167
GBR 8745,Patrick Mc Gale,Alex Cull,QUEEN MARY SAILING CLUB - Great Britain,159,(DNF 189),142,163,147,162,(--- 189),--- 189,--- 189,1529,1151,168
FRA 9014,Louis Gibert,Edith Castillon,C N ANTIBES - France C N ANTIBES,(DNF 189),150,159,(DNF 189),DNF 189,160,DNF 189,148,157,1530,1152,169
FRA 9033,Patrice Hue,Florent Duplouy,S N O NANTES - France AC ALSACE LORRAINE,167,146,(DNF 189),144,(DSQ 189),129,DNF 189,DNS 189,--- 189,1531,1153,170
FRA 4479,Jean-Charles Cadoret,Pascal Coquelet,N C MONTARGIS - France N C MONTARGIS,(DNF 189),(DNS 189),DNF 189,DNF 189,148,128,DNF 189,158,156,1535,1157,171
FRA 8301,Benoit Blaison,Nicolas Walster,A S GERARDMER - France A S GERARDMER,(DNF 189),(DNS 189),166,149,160,DNF 189,DNF 189,146,159,1536,1158,172
FRA 8401,Alain Renoux,Eric Kopka,C V ANGOULEME - France C V ANGOULEME,168,158,165,165,165,(DNF 189),(DNF 189),DNS 189,160,1548,1170,173
FRA 8369,Alain De Pommery,Marta Janiak,S N LE BONO - France C.V.M.L,(DNF 189),(DNF 189),161,166,DNF 189,DNF 189,DNF 189,125,158,1555,1177,174
FRA 7235,Philippe Veron,Fabien Pascal,C.N. VIRY CHATILLON - France C N HAUTE SEINE,153,152,(DNF 189),(DNF 189),DNF 189,DSQ 189,DNF 189,156,152,1558,1180,175
FRA 8844,Dominique Picou,,S R ROCHELAISES - France,146,135,149,(DNF 189),(DNF 189),DNF 189,--- 189,--- 189,--- 189,1564,1186,176
GER 8052,Jurgen Feuerhake,Anne Nehrenberg,YC SAARBRUCKEN - Germany,162,157,(DNF 189),158,157,(DNF 189),DNF 189,DNF 189,--- 189,1579,1201,177
BEL 8543,Alain Mineur,Fabienne Boucau,SNEH - Belgium,(DNF 189),(DNF 189),164,155,169,DNF 189,DNF 189,DSQ 189,162,1595,1217,178
FRA 8400,Charles Morin,Thibaud Delaunay,CV ST AUBIN ELBEUF - France CV ST AUBIN ELBEUF,(DNF 189),(DNF 189),163,DNF 189,168,DNF 189,DNF 189,160,165,1601,1223,179
FRA 8140,Philippe Bradfer,Pierre Bradfer,C Y V PARELOUP - France C Y V PARELOUP,(DNF 189),159,(DSQ 189),DNF 189,166,DNF 189,DNF 189,D+D 189,163,1622,1244,180
FRA 8701,Cedric Huchet,Antoine Huchet,S N O NANTES - France C N B P P,166,153,(DNF 189),(DNC 189),DNC 189,DNC 189,DNC 189,DNC 189,DNC 189,1642,1264,181
FRA 8885,Jean Baptiste Dupont,Jean Claude Ancelot,C .V. de PARIS - France S N O NANTES,(DSQ 189),(DNF 189),140,DNF 189,DNF 189,DNF 189,--- 189,--- 189,--- 189,1652,1274,182
FRA 7740,Charles Dupuis,Roger Dupuis,S R DIVES HOULGATE - France S R DIVES HOULGATE,(DNF 189),(DNF 189),DNF 189,DNF 189,167,DNF 189,DNF 189,D+D 189,166,1656,1278,183
FRA 8895,Paul Bendiyan,Georges Bendiyan,AC ALSACE LORRAINE - France AC ALSACE LORRAINE,155,(DNF 189),(DNF 189),DNF 189,DNF 189,DNF 189,--- 189,--- 189,--- 189,1667,1289,184
FRA 8455,Laurent Michel,Cyril Golenko,C V A N NANTES - France C V A N NANTES,(DNS 189),(DNS 189),167,DNF 189,DNF 189,DNF 189,--- 189,--- 189,--- 189,1679,1301,185
FRA 7396,Thomas Soinard,Jean-Claude Soinard,C.V.M.L - France C.V.M.L,(DNF 189),(DNF 189),DNF 189,DNF 189,DNF 189,DNF 189,DNF 189,--- 189,--- 189,1701,1323,186
FRA 8484,Philippe Blanchard,,AC ALSACE LORRAINE - France,(DNC 189),(DNC 189),DNC 189,DNC 189,DNC 189,DNC 189,DNC 189,DNC 189,DNC 189,1701,1323,186
FRA 8871,Alain Preel,Michel Laugerotte,C V ST AUBIN S/MER - France Y C DER,(DNF 189),(DNC 189),DNF 189,DNF 189,DNF 189,DNF 189,--- 189,--- 189,--- 189,1701,1323,186
