Nation,Name,Club,Description,Birth Date,Website,Facebook,Death Date,Full Name,Height,Wikipedia,Sailor ID,email hash (gravatar md5),LinkedIn,Real Name,Instagram,Twitter,Endomondo
AUS,Ian Pinder,,,,,,,,,,,,,,,,
AUS,Ian Pitt,,,,,,,,,,,,,,,,
AUS,Ian Scholes,,,,,,,,,,,,,,,,
AUS,Ian Taylor,,,,,,,,,,,,,,,,
AUS,Isaac Noble,,,,,,,,,,,,,,,,
AUS,Jake Bessen,,,,,,,,,,,,,,,,
AUS,Jake Flintoff,,,,,,,,,,,,,,,,
AUS,James Bryden,,,,,,,,,,,,,,,,
AUS,James Ford,,,,,,,,,,,,,,,,
AUS,James Hardy,Brighton & Seacliff Yacht Club,,1932-11-20,,,2023-06-15,,,https://en.wikipedia.org/wiki/James_Hardy_(sailor),,,,,,,
AUS,James McAllister,,,,,,,,,,,,,,,,
AUS,James McGillivray,,,,,,,,,,,,,,,,
AUS,James Ryssenbeek,,,,,,,,,,,,,,,,
AUS,Jamie Batten,,,,,,,,,,,,,,,,
AUS,Jarrod Hazell,,,,,,,,,,,,,,,,
AUS,Jason Wallington,,,,,,,,,,,,,,,,
AUS,Jay Brown,,,,,,,,,,,,,,,,
AUS,Jayson Field,,,,,,,,,,,,,,,,
AUS,Jeff Burford,,,,,,,,,,,,,,,,
AUS,Jeff Keogh,,,,,,,,,,,,,,,,
AUS,Jeffrey Robinson,,,,,,,,,,,,,,,,
AUS,Jemima Carey,,,,,,,,,,,,,,,,
AUS,Jeremy Fussell,,,,,,,,,,,,,,,,
AUS,Jeremy Kerrisk,,,,,,,,,,,,,,,,
AUS,Jeremy Manders,,,,,,,,,,,,,,,,
AUS,Jesse Flintoff,,,,,,,,,,,,,,,,
AUS,Jesse Mitton,,,,,,,,,,,,,,,,
AUS,Jim McGillivray,,,,,,,,,,,,,,,,
AUS,Jim McNally,,,,,,,,,,,,,,,,
AUS,Jim Sanderson,,,,,,,,,,,,,,,,
AUS,Joel Castle,,,,,,,,,,,,,,,,
AUS,Joel McDonald,,,,,,,,,,,,,,,,
AUS,John B. Cuneo,,,1928-06-16,,,2020-06-02,John Bruce Cuneo,,https://en.wikipedia.org/wiki/John_Cuneo_(sailor),,,,,,,
AUS,John Bagshaw,,,,,,,,,,,,,,,,
AUS,John Black,,,,,,,,,,,,,,,,
AUS,John Campbell,,,,,,,,,,,,,,,,
AUS,John Goodchild,,,,,,,,,,,,,,,,
AUS,John Greenlees,,,,,,,,,,,,,,,,
AUS,John Hands,,,,,,,,,,,,,,,,
AUS,John Hillcoat,,,,,,,,,,,,,,,,
AUS,John Jenkins,,,,,,,,,,,,,,,,
AUS,John Macarthur-King,,,,,,,,,,,,,,,,
AUS,John McLean,,,,,,,,,,,,,,,,
AUS,John Parrington,,,,,,,,,,,,,,,,
AUS,John Paterson,,,,,,,,,,,,,,,,
AUS,John Rayner,,,,,,,,,,,,,,,,
AUS,John Tunney,,,,,,,,,,,,,,,,
AUS,John Whitbread,,,,,,,,,,,,,,,,
AUS,John Willoughby,,,,,,,,,,,,,,,,
AUS,Jonathan Ross,,,,,,,,,,,,,,,,
AUS,Jonno Bannister,,,,,,,,,,,,,,,,
AUS,Jordan Spencer,,,,,,,,,,,,,,,,
AUS,Josh Mewburn,,,,,,,,,,,,,,,,
AUS,Josh Mortensen,,,,,,,,,,,,,,,,
AUS,Justin Mitchell,,,,,,,,,,,,,,,,
AUS,Justin Mulkearns,,,,,,,,,,,,,,,,
AUS,Ken Lockenby,,,,,,,,,,,,,,,,
AUS,Ken Mitchell,,,,,,,,,,,,,,,,
AUS,Kevin Whitbread,,,,,,,,,,,,,,,,
AUS,Kieren Abbott,,,,,,,,,,,,,,,,
AUS,Kim Williams,,,,,,,,,,,,,,,,
AUS,Kym Campion,,,,,,,,,,,,,,,,
AUS,Lachlan Hornsby,,,,,,,,,,,,,,,,
AUS,Leigh Riddell,,,,,,,,,,,,,,,,
AUS,Leigh Winter,,,,,,,,,,,,,,,,
AUS,Les Nathanson,,,,,,,,,,,,,,,,
AUS,Leslie Nathanson,,,,,,,,,,,,,,,,
AUS,Leslie Nathonson,,,,,,,,,,,,,,,,
AUS,Liam McMahon,,,,,,,,,,,,,,,,
AUS,Liam Parker,,,,,,,,,,,,,,,,
AUS,Lindsay Gilbert,,,,,,,,,,,,,,,,
AUS,Lindsay Whitton,,,,,,,,,,,,,,,,
AUS,Lucas Geddes,,,,,,,,,,,,,,,,
AUS,Lucas Prescott,,,,,,,,,,,,,,,,
AUS,Luke Abbott,,,,,,,,,,,,,,,,
AUS,Luke Patterson,,,,,,,,,,,,,,,,
AUS,Luke Payne,,,1988,,,,,,,,3999576d5ca7970a6f0e1d038455daeb,,,,,
AUS,Luke Rhodes,,,,,,,,,,,,,,,,
AUS,Luke White,,,,,,,,,,,,,,,,
AUS,Maggie Bowden,,,,,,,,,,,,,,,,
AUS,Malcolm Higgins,,,,,,,,,,,,,,,,
AUS,Malcolm Page,,,,,,,,,,,,,,,,
AUS,Marcel Vos,,,,,,,,,,,,,,,,
AUS,Marcus Cooper,,,,,,,,,,,,,,,,
AUS,Mark Barber,,,,,,,,,,,,,,,,
AUS,Mark Bethwaite,,,,,,,,,,,,,,,,
AUS,Mark Engert,,,,,,,,,,,,,,,,
AUS,Mark Jucak,,,,,,,,,,,,,,,,
AUS,Mark Nykiel,,,,,,,,,,,,,,,,
AUS,Mark Paparella,,,,,,,,,,,,,,,,
AUS,Mark Scrymgour,,,,,,,,,,,,,,,,
AUS,Mark Stowell,,,,,,,,,,,,,,,,
AUS,Martin Pike,,,,,,,,,,,,,,,,
AUS,Martin Smith,,,,,,,,,,,,,,,,
AUS,Matt Bowden,,,,,,,,,,,,,,,,
AUS,Matt Brooman,,,,,,,,,,,,,,,,
AUS,Matt Burns,,,,,,,,,,,,,,,,
AUS,Matt Merchant,,,,,,,,,,,,,,,,
AUS,Matt Sanderson,,,,,,,,,,,,,,,,
AUS,Matt Smith,,,,,,,,,,,,,,,,
AUS,Matt Summers,,,,,,,,,,,,,,,,
AUS,Matthew Bowden,,,,,,,,,,,,,,,,
AUS,Matthew Hansen,,,,,,,,,,,,,,,,
AUS,Matthew Holden,,,,,,,,,,,,,,,,
AUS,Matthew Hyde,,,,,,,,,,,,,,,,
AUS,Matthew Owen,,,,,,,,,,,,,,,,
AUS,Matthew Till,,,,,,,,,,,,,,,,
AUS,Max Hayman,,,,,,,,,,,,,,,,
AUS,Max Whitnall,,,,,,,,,,,,,,,,
AUS,Max Whitnell,,,,,,,,,,,,,,,,
AUS,Michael Cook,,,,,,,,,,,,,,,,
AUS,Michael Duffeild,,,,,,,,,,,,,,,,
AUS,Michael Duffield,FSC - Fremantle Sailing Club,,,,,,,,,,,,,,,
AUS,Michael Gallagher,,,,,,,,,,,,,,,,
AUS,Michael Hughes,,,,,,,,,,,,,,,,
AUS,Michael Lawrence,,,,,,,,,,,,,,,,
AUS,Michael Navarro,,,,,,,,,,,,,,,,
AUS,Michael Thomson,,,,,,,,,,,,,,,,
AUS,Michael Whitmore,,,,,,,,,,,,,,,,
AUS,Mick Babbage,,,,,,,,,,,,,,,,
AUS,Mick Odonnel,,,,,,,,,,,,,,,,
AUS,Mick O'Donnell,,,,,,,,,,,,,,,,
AUS,Mick Patrick,,,,,,,,,,,,,,,,
AUS,Mike Carr,,,,,,,,,,,,,,,,
AUS,Mike Navarro,,,,,,,,,,,,,,,,
AUS,Mitchell McDonald,,,,,,,,,,,,,,,,
AUS,Morgan Bax,,,,,,,,,,,,,,,,
AUS,Murray Gilbert,,,,,,,,,,,,,,,,
AUS,Murray Smith,,,,,,,,,,,,,,,,
AUS,Nandor Klatsmanyi,,,,,,,,,,,,,,,,
AUS,Nathan Outteridge,,,,,,,,,,,,,,,,
AUS,Nathan Quirk,,,,,,,,,,,,,,,,
AUS,Nathan Rosenberg,,,,,,,,,,,,,,,,
AUS,Neil Harrison,,,,,,,,,,,,,,,,
AUS,Neil How,,,,,,,,,,,,,,,,
AUS,Neil Long,,,,,,,,,,,,,,,,
AUS,Neville Kerr,,,,,,,,,,,,,,,,
AUS,Nicholas Deussen,,,,,,,,,,,,,,,,
AUS,Nicholas Mariani,,,,,,,,,,,,,,,,
AUS,Nick Alexander,,,,,,,,,,,,,,,,
AUS,Nick Davis,,,,,,,,,,,,,,,,
AUS,Nick Johnston,,,,,,,,,,,,,,,,
AUS,Nick Johnstone,,,,,,,,,,,,,,,,
AUS,Nick Paterson,,,,,,,,,,,,,,,,
AUS,Nick Stabback,,,,,,,,,,,,,,,,
AUS,Nigel Lott,,,,,,,,,,,,,,,,
AUS,Noah Taylor,,,,,,,,,,,,,,,,
AUS,Owen Vale,,,,,,,,,,,,,,,,
AUS,Patrick Atwell,,,,,,,,,,,,,,,,
AUS,Paul Campbell,,,,,,,,,,,,,,,,
AUS,Paul Greenhalgh,,,,,,,,,,,,,,,,
AUS,Paul Greenwood,,,,,,,,,,,,,,,,
AUS,Paul Harris,,,,,,,,,,,,,,,,
AUS,Paul Marsh,,,,,,,,,,,,,,,,
AUS,Paul Rees,,,,,,,,,,,,,,,,
AUS,Paul Remington,,,,,,,,,,,,,,,,
AUS,Paul Ridgway,,,,,,,,,,,,,,,,
AUS,Paul Sanderco,,,,,,,,,,,,,,,,
AUS,Paul Schulz,,,,,,,,,,,,,,,,
AUS,Pete Holden,,,,,,,,,,,,,,,,
AUS,Peter Bale,,,,,,,,,,,,,,,,
AUS,Peter Crommelin,,,,,,,,,,,,,,,,
AUS,Peter Drinkwater,,,,,,,,,,,,,,,,
AUS,Peter Harvey,,,,,,,,,,,,,,,,
AUS,Peter Hewson,,,,,,,,,,,,,,,,
AUS,Peter Holden,,,,,,,,,,,,,,,,
AUS,Peter McDonald,,,,,,,,,,,,,,,,
AUS,Peter Nicholas,,,1989,,,,,,,,,,,,,
AUS,Peter Nicholson,,,,,,,,,,,,,,,,
AUS,Peter Pisters,,,,,,,,,,,,,,,,
AUS,Peter Volkmer,,,,,,,,,,,,,,,,
AUS,Peter Wilson,,,,,,,,,,,,,,,,
AUS,Phil Bowden,,,,,,,,,,,,,,,,
AUS,Phil Edney,,,,,,,,,,,,,,,,
AUS,Phil Gray,,,,,,,,,,,,,,,,
AUS,Phil Webb,,,,,,,,,,,,,,,,
AUS,Philip Scapens,,,,,,,,,,,,,,,,
AUS,Pip Pearson,,,,,pip.pearson.395,,,,,,,,,,,
AUS,Quinn Andrew,,,,,,,,,,,,,,,,
AUS,Reg Crick,,,,,,,,,,,,,,,,
AUS,Renee de Voogd,,,,,,,,,,,,,,,,
AUS,Richard Batten,,,,,,,,,,,,,,,,
AUS,Richard Gallimore,,,,,,,,,,,,,,,,
AUS,Richard Gorrell,,,,,,,,,,,,,,,,
AUS,Richard Hawkins,,,,,,,,,,,,,,,,
AUS,Richard Hyde,DPSS,505 sailor for 35 years,1949,,dickie.hyde.5,,,,,,d541cccada5fca5019258f86288e1260,,,,,
AUS,Richard Machin,,,,,,,,,,,,,,,,
AUS,Richard Needham,,,,,,,,,,,,,,,,
AUS,Richie Gallimore,,,,,,,,,,,,,,,,
AUS,Riley Pike,,,,,,,,,,,,,,,,
AUS,Riley Skipworth,,,,,,,,,,,,,,,,
AUS,Rob Bate,,,,,,,,,,,,,,,,
AUS,Rob Deussen,,,,,,,,,,,,,,,,
AUS,Robert Bath,,,,,,,,,,,,,,,,
AUS,Robert Fleming,,,,,,,,,,,,,,,,
AUS,Robert Franks,,,,,,,,,,,,,,,,
AUS,Robert Gichrist,,,,,,,,,,,,,,,,
AUS,Robert Gilchrist,,,,,,,,,,,,,,,,
AUS,Robert Hook,,,,,,,,,,,,,,,,
AUS,Robert Jones,,,,,,,,,,,,,,,,
AUS,Robert Woodman,,,,,,,,,,,,,,,,
AUS,Robin Bath,,,,,,,,,,,,,,,,
AUS,Robin Cross,,,,,,,,,,,,,,,,
AUS,Robin Gauld,Townsville Sailing Club,,,,,,,,,,cdf54f681086d7dfedbf8079c9ba8f68,,,,,
AUS,Rod Badgery,,,,,,,,,,,,,,,,
AUS,Rod Dalgleish,,,,,,,,,,,,,,,,
AUS,Roger Pell,,,,,,,,,,,,,,,,
AUS,Ron Naughton,,,,,,,,,,,,,,,,
AUS,Ron Wilson,,,,,,,,,,,,,,,,
AUS,Rory Odell,,,,,,,,,,,,,,,,
AUS,Roy Woodcock,,,,,,,,,,,,,,,,
AUS,Ryan Kelly,,,,,,,,,,,,,,,,
AUS,Ryan Menzies,,,,,,,,,,,,,,,,
AUS,Ryan Sherburn,,,,,,,,,,,,,,,,
AUS,Sam Byass,,,,,,,,,,,,,,,,
AUS,Sam Cronin,,,,,,,,,,,,,,,,
AUS,Sam Gill,,,,,,,,,,,,,,,,
AUS,Sam Haines,,,,,,,,,,,,,,,,
AUS,Sam Heritage,,,,,,,,,,,,,,,,
AUS,Samuel Hyde,,,,,,,,,,,,,,,,
AUS,Sandra Barber,,,,,,,,,,,,,,,,
AUS,Sandra Jones,,,,,,,,,,,,,,,,
AUS,Sarah Cooper,,,,,,,,,,,,,,,,
AUS,Sarah Macarthur-King,,,,,,,,,,,,,,,,
AUS,Sarah Withall,,,,,,,,,,,,,,,,
AUS,Scott Bailey,,,,,,,,,,,,,,,,
AUS,Scott Lidgett,,,,,,,,,,,,,,,,
AUS,Scott Olsen,,,,,,,,,,,,,,,,
AUS,Scott Ovenden,,,,,,,,,,,,,,,,
AUS,Sean Managh,,,,,,,,,,,,,,,,
AUS,Shain Attwell,,,,,,,,,,,,,,,,
AUS,Shane Attwell,,,,,,,,,,,,,,,,
AUS,Shane Duessen,,,,,,,,,,,,,,,,
AUS,Shane Guanaria,,,,,,,,,,,,,,,,
AUS,Simon Gorman,,,,,,,,,,,,,,,,
AUS,Simon Reffold,,,,,,,,,,,,,,,,
AUS,Simon Wilder,,,,,,,,,,,,,,,,
AUS,Soggy Pidsley,,,,,,,,,,,,,,,,
AUS,Stephen Hazell,,,,,,,,,,,,,,,,
AUS,Stephen Ianna,,,,,,,,,,,,,,,,
AUS,Stephen Jones,,,,,,,,,,,,,,,,
AUS,Steve Howden,,,,,,,,,,,,,,,,
AUS,Steve Knuckey,,,,,,,,,,,,,,,,
AUS,Steve Liney,,,,,,,,,,,,,,,,
AUS,Steve McConaghy,,,,,,,,,,,,,,,,
AUS,Steve Sievewright,,,,,,,,,,,,,,,,
AUS,Steven Findlay,,,,,,,,,,,,,,,,
AUS,Stuart Campbell,,,,,,,,,,,,,,,,
AUS,Terry Kyrwood,,,,,,,,,,,,,,,,
AUS,Tessa Parkinson,,,,,,,,,,,,,,,,
AUS,Thor Schoenhoff,,,,,,,,,,,,,,,,
AUS,Tim Griffin,,,,,,,,,,,,,,,,
AUS,Tim Jeans,,,,,,,,,,,,,,,,
AUS,Tim Sampson,,,,,,,,,,,,,,,,
AUS,Tim Walker,,,,,,,,,,,,,,,,
AUS,Tom Alder,,,,,,,,,,,,,,,,
AUS,Tom Brand,,,,,,,,,,,,,,,,
AUS,Tom Brewer,,,,,,,,,,,,,,,,
AUS,Tom Connell,,,,,,,,,,,,,,,,
AUS,Tom Stuchbery,,,,,,,,,,,,,,,,
AUS,Tom Watson,,,,,,,,,,,,,,,,
AUS,Tom Woods,,,,,,,,,,,,,,,,
AUS,Tony Smith,,,,,,,,,,,,,,,,
AUS,Tony Turton,,,,,,,,,,,,,,,,
AUS,Tony Wood,,,,,,,,,,,,,,,,
AUS,Torvar Mirsky,,,,,,,,,,,,,,,,
AUS,Vivian Marcas,,,,,,,,,,,,,,,,
AUS,Warren Cosh,,,,,,,,,,,,,,,,
AUS,Wayne Boyd,,,,,,,,,,,,,,,,
AUS,Will Gunzburg,,,,,,,,,,,,,,,,
AUS,Will MacDonald,,,,,,,,,,,,,,,,
AUS,Will McDonald,,,,,,,,,,,,,,,,
AUS,Xavier Agnew,,,,,,,,,,,,,,,,
AUS,Zoe How,,,,,,,,,,,,,,,,
AUS,Zoe Thomson,,,,,,,,,,,,,,,,
AUT,Adam Smith,,,,,,,,,,,,,,,,
AUT,Armin Koren,,,,,,,,,,,,,,,,
AUT,Fr. Schweinberger,,,,,,,,,,,,,,,,
AUT,Julian Jöbstl,,,,,,,,,,,,,,,,
AUT,Martin Schmidt,,,,,,,,,,,,,,,,
AUT,Michael Mayrhofer,,,,,,,,,,,,,,,,
AUT,Rudi Birkel,,,,,,,,,,,,,,,,
AUT,Verena Fian,,,,,,,,,,,,,,,,
BEL,Alain Mineur,,,,,,,,,,,,,,,,
BEL,Alain Tosello,,,,,,,,,,,,,,,,
BEL,Alban Viaud,,,,,,,,,,,,,,,,
BEL,Andre Dumonceau,,,,,,,,,,,,,,,,
BEL,Anne-Sophie Conotte,,,,,,,,,,,,,,,,
BEL,Antoine Poncin,,,,,,,,,,,,,,,,
BEL,Bart Geebelen,NOORD LIMBURG MAAS,,1971,,,,,,,,,,,,,
BEL,Bas Van Assche,,,,,,,,,,,,,,,,
BEL,Benoît Raucent,,,,,,,,,,,,,,,,
BEL,Bert Lernout,,,,,,,,,,,,,,,,
BEL,Casper Martens,,,,,,,,,,,,,,,,
BEL,Cédric Crets,,,,,,,,,,,,,,,,
BEL,Cédric Moentack,,,,,,,,,,,,,,,,
BEL,Chris Lehouck,,,1968,,,,,,,,,,,,,
BEL,Claude Colette,,,,,,,,,,,,,,,,
BEL,Claude Collette,,,,,,,,,,,,,,,,
BEL,Didier Kariger,,,,,,,,,,,,,,,,
BEL,Didier Trine,,,,,,,,,,,,,,,,
BEL,Emiel Van Hemeldonck,,,,,,,,,,,,,,,,
BEL,Eric Defroimont,,,,,,,,,,,,,,,,
BEL,Eric Froidmont,,,,,,,,,,,,,,,,
BEL,Fabienne Boucau,,,,,,,,,,,,,,,,
BEL,Frédéric Decocq,,,,,,,,,,,,,,,,
BEL,Frederic Dignef,,,,,,,,,,,,,,,,
BEL,Frederic Jacmart,,,,,,,,,,,,,,,,
BEL,Fredrik Wigelius,,,,,,,,,,,,,,,,
