,helm,crew,club,R1,R2,R3,R4,R5,R6,R7,R8,R9,Σ,Regatta Rank
 GER 8915,Schlesiger,Schlesiger,,54,41,51,31,50,44,39,45,53,301,48
 GBR 9093,Owen,Bruton,,73,28,34,73,61,30,20,DNS,57,303,49
 IRL 8906,Mcnicholl,Mcnicholl,,61,7,65,32,55,49,61,66,41,306,50
 GBR 9104,Briddon,Kenney,,59,55,59,RET,RET,22,31,22,62,310,51
 GBR 8991,Meadow,Read,,17,84,32,81,44,70,82,46,36,326,52
 GBR 8887,Williams,Davies,,47,59,40,58,45,47,44,62,48,329,53
 GBR 8514,Iliffe,Nurse,,42,40,53,68,52,RET,48,49,54,338,54
 AUS 8957,Woolman,Scapens,,102,58,38,49,54,RET,32,52,56,339,55
 GER 9043,Birkner,Stenger,,38,3,70,54,49,69,84,72,61,344,56
 RSA 8675,Hurter,Zimmerman,,44,85,63,56,56,67,45,40,52,356,57
 USA 8831,Johannessen,Von Grey,,43,62,52,59,63,64,50,54,46,366,58
 SWE 8912,Hastenpflug,Hastenpflug,,79,47,61,38,66,RET,52,56,51,371,59
 DEN 8828,Wonterghem,Wonterghem,,58,74,69,15,58,RET,73,64,60,397,60
 GER 9035,Roos,Roos,,RDG,52,87,76,57,48,62,59,69,399,61
 GBR 9136,Mears,Tucker,,DNF,81,21,53,42,37,RET,DNC,43,408,62
 AUS 8797,Pike,Jones,,74,70,58,67,81,43,49,48,87,409,63
 GER 9020,Jörn Wille,Martin Bergmann,,62,97,89,34,65,57,56,75,70,419,64
 GBR 9125,Deane,Williams,,56,60,83,RET,RET,45,51,50,75,420,65
 GBR 8708,Goult,Russell,,53,76,94,60,70,51,60,51,83,421,66
 POL 9170,Karol Milewski,Bartosz Milewski,,29,69,72,51,60,RET*,76,84*,66,423,67
 GBR 9156,Pickering,Priddle,,67,51,50,97,79,41,74,65,RET,427,68
 USA 9083,Ross,Waterman,,65,88,67,78,93,56,55,44,64,429,69
 GBR 9159,Weston,Hawkes,,76,72,48,48,71,RET,72,78,47,434,70
 USA 9005,Kivney,Greenfield,,64,67,60,70,90,42,77,55,92,435,71
 RSA 9129,Plattner,Shelton,,35,17,55,30,46,RET,RET,DNC,DNC,445,72
 GBR 8860,Johnson,King,,63,73,62,72,59,59,67,83,63,445,73
 GBR 9126,Turnbull,George,,57,63,71,44,53,RET,RET,DNC,45,464,74
 FRA 8847,Le Morvan,Gougeon,,80,56,85,66,80,72,89,77,58,489,75
 AUS 9022,Burford,Christie,,68,68,75,82,77,76,64,RET,76,504,76
 AUS 8968,Hansen,White,,82,92,74,63,75,RET,70,76,68,508,77
 GBR 9032,Blyth,Aitken,,105,77,80,94,72,63,87,61,84,524,78
 GBR 9158,Lewis,Holland,,94,78,73,RET,DNC,53,66,60,102,526,79
 GER 8750,Kruse,Wittemer,,88,93,66,74,88,DNS,71,67,72,526,80
 SWE 8926,Rosen,Wenrup,,15,39,RET,37,64,RET,DNC,DNC,DNC,548,81
 FRA 9031,Philippe,Vivien,,104,71,RET,61,84,77,79,82,97,551,82
 GER 9054,Kébreau,Wollenbecker,,71,106,76,75,68,RET,88,DNS,71,555,83
 FRA 8676,Dechauffour,Gendry,,83,75,64,65,RET,54,DNS,DNC,85,557,84
 GBR 8881,Rabbitts,Samanjoul,,89,99,RET,91,99,61,57,69,91,557,85
 GBR 8749,Milton,Milton,,97,103,93,102,85,60,63,63,109,563,86
 FRA 8752,Frédéric,Yann,,87,87,91,RET,94,80,68,71,86,570,87
 GER 8903,Kwee,Spötter,,77,90,95,96,78,71,75,85,95,571,88
 GBR 8914,Bannister,Nicholson,,86,107,68,79,76,74,RET,DNC,89,579,89
 POL 9132,Przemek Zagórski,Michał Olko,,72,79,79,88,69,RET*,DNS*,RET,67,585,90
 GBR 8384,Culpitt,Nicholson,,110,101,106,89,106,79,59,74,78,586,91
 GER 8550,Hauschild,Heyder,,85,112,98,86,87,RET,80,73,77,586,92
 GBR 8340,Waddington,Octon,,119,129,77,100,98,75,69,80,96,595,93
 FRA 8954,Agrapart,Agrapart,,90,61,111,87,62,RET,RET,DNC,55,597,94
 AUS 8637,Cronin,Whitbread,,116,126,92,103,82,RET,58,68,79,598,95
 AUS 9071,Hyde,Johnson,,91,120,84,92,73,RET,90,81,88,599,96
 USA 8868,Kowalski,Ginther,,103,89,99,105,89,68,83,DNS,81,612,97
 SUI 9060,Houriet,Donze,,75,65,96,83,101,DNC,DNC,DNC,65,616,98
 FRA 9086,Neidhart,De Monteil,,69,96,97,80,83,RET,RET,DNC,73,629,99
 GBR 8650,Selfe,Montague,,95,80,81,77,74,RET,RET,DNC,93,631,100
 AUS 9018,Bowden,Korobacz,,121,125,86,109,92,55,DNC,70,101,634,101
 GBR 8432,Wheeler,Marriott,,114,122,82,85,96,RET,78,79,103,637,102
 GBR 9142,Hart,Fulcher,,70,83,41,55,RET,RET,DNC,DNC,DNC,642,103
 GBR 9036,Martin Wedge,Scott Allen,,81,82,78,90,86,RET,DNS,DNC,DNC,679,104
 SWE 9092,Hastenpflug,Hastenpflug,,96,86,RET,113,111,DNC,29,DNC,116,682,105
 BER 9176,Wright,Taylor,,109,121,108,104,103,73,81,RET,108,686,106
 CAN 8755,Trainor,Jennings,,100,94,101,93,114,81,RET,DNC,105,688,107
 GER 9141,Otto,Lietz,,98,95,88,84,102,RET,DNC,DNC,104,702,108
 GER 9021,Biederer,Annighöfer,,84,91,115,117,91,RET,DNS,DNC,90,719,109
 GBR 8243,Greenland,Mawhinney,,115,124,114,RET,105,65,86,DNS,112,721,110
 FRA 9164,Dechauffour,Dechauffour,,93,102,117,98,104,DNC,DNS,DNC,80,725,111
 GER 9123,Wilts,Schmidt,,112,109,112,64,100,RET,RET,DNC,99,727,112
 GER 8806,Hauschild,Menge,,107,104,103,106,97,RET,RET,DNC,82,730,113
 GBR 8925,Willmott,Driscoll,,101,117,118,110,110,66,DNC,DNC,110,732,114
 SWE 8835,Franzen,Andersson,,108,98,102,99,95,DNC,DNC,DNC,DNC,764,115
 POL 8909,Jan Domański,Kacper Kaczmarek,,92,115,104,116,RET*,RET*,RET,DNC,94,783,116
 FRA 9103,Mathieu,Olivier,,106,110,105,107,RET,RET,DNS,DNS,100,790,117
 FRA 8902,Zimmowitch,Zimmowitch,,113,130,110,95,112,RET,RET,DNC,111,802,118
 GBR 8780,Wright,Powell,,99,118,107,112,RET,DNS,DNS,DNC,107,805,119
 GBR 8583,Battersby,Cumberbatch,,120,100,RET,119,107,RET,RET,DNC,98,806,120
 FRA 8950,Quemard,Picquerey,,123,111,109,114,109,RET,RET,DNC,113,810,121
 USA 8439,Fitzpatrick,Pittack,,125,127,100,101,108,DNS,RET,DNC,119,811,122
 USA 8939,Wyles,Fletcher,,122,113,113,108,RET,DNS,RET,DNC,106,824,123
 FRA 8542,Leroy,Guitteny,,117,108,RET,111,116,RET,RET,DNF,117,831,124
 BEL 8700,Collette,Dobbelstein,,111,119,DNF,115,117,RET,DNS,DNC,115,839,125
 SWE 7343,Franzén,Karoliussen,,124,105,RET,118,113,DNC,DNS,DNC,DSQ,853,126
 FRA 9024,Valery,Valery,,RET,114,90,RET,RET,DNS,RET,DNC,DNC,859,127
 GBR 7755,Fox,Fox,,DSQ,128,116,120,115,RET,RET,DNC,118,859,128
 BEL 8949,Crets,Lambert,,118,116,RET,DNS,RET,RET,RET,RET,114,872,129
 AUS 8922,Lawrence,Murphy,,126,123,RET,RET,118,DNS,RET,DNC,DNC,891,130
