Nation,Name,Club,Description,Birth Date,Website,Facebook,Death Date,Full Name,Height,Wikipedia,Sailor ID
AUS,David Alexander,,,,,,,,,,
AUS,David Castles,,,,,,,,,,
AUS,David Christie,,,,,,,,,,
AUS,David J. Bull,,,,,,,,,,
AUS,David Mole,,,,,,,,,,
AUS,David Muel,,,,,,,,,,
AUS,David Ottaway,,,,,,,,,,
AUS,David Page,,,,,,,,,,
AUS,David Porter,,,,,,,,,,
AUS,David Thompson,,,,,,,,,,
AUS,Dean Williams,,,,,,,,,,
AUS,Dennis Evans,,,,,,,,,,
AUS,Derek Milligan,,,,,,,,,,
AUS,Dustin Carlsson,,,,,,,,,,
AUS,Ed Cox,,,,,,,,,,
AUS,Ed Repsevious,,,,,,,,,,
AUS,Edmond Repsevicius,,,,,,,,,,
AUS,Frank Karlovecz,,,,,,,,,,
AUS,Gary Rushton,,,,,,,,,,
AUS,Geoff Lange,,,,,,,,,,
AUS,Geoffrey Kyrwood,,,,,,,,,,
AUS,Gilbert Ford,,,,,,,,,,
AUS,Glen Stewart,,,,,,,,,,
AUS,Graeme Engert,,,,,,,,,,
AUS,Graeme Murphy,,,,,,,,,,
AUS,Graeme Spence,,,,,,,,,,
AUS,Graham Payne,,,,,,,,,,
AUS,Grahame Tindall,,,,,,,,,,
AUS,Grant Abbott,,,,,,,,,,
AUS,Grant Rose,,,,,,,,,,
AUS,Greg Clarke,,,,,,,,,,
AUS,Greg Illman
AUS,Guy Robertson,,,,,,,,,,
AUS,Hamish Jarrett,,,,,,,,,,
AUS,Hugh Stoddart,,,,,,,,,,
AUS,Iain Jensen,,,,,,,,,,
AUS,Iain Murray,,,,,,,,,,
AUS,Ian Brown,,,1954-04-04,,100004068762535,,Ian Warwick Brown,,https://en.wikipedia.org/wiki/Ian_Brown_(sailor),
AUS,Ian Bryden
AUS,Ian Burford,,,,,,,,,,
AUS,Ian Davidson,,,,,,,,,,
AUS,Ian Dunn,Harbour Yacht Club,,,,,,,,,
AUS,Ian Gregg,,,,,,,,,,
AUS,Ian McGillivray,,,,,,,,,,
AUS,Ian Pinder,,,,,,,,,,
AUS,Ian Scholes,,,,,,,,,,
AUS,Ian Taylor,,,,,,,,,,
AUS,Jake Bessen,,,,,,,,,,
AUS,Jake Flintoff
AUS,James Bryden
AUS,James Ford,,,,,,,,,,
AUS,James McAllister,,,,,,,,,,
AUS,James McGillivray,,,,,,,,,,
AUS,James Ryssenbeek,,,,,,,,,,
AUS,Jayson Field
AUS,Jeff Burford,,,,,,,,,,
AUS,Jeff Keogh
AUS,Jeffrey Robinson,,,,,,,,,,
AUS,Jeremy Fussell,,,,,,,,,,
AUS,Jeremy Manders,,,,,,,,,,
AUS,Jesse Flintoff
AUS,Jim McGillivray,,,,,,,,,,
AUS,Jim McNally,,,,,,,,,,
AUS,Joel Castle,,,,,,,,,,
AUS,John B. Cuneo,,,,,,,,,,
AUS,John Fry,,,,,,,,,,
AUS,John Goodchild,,,,,,,,,,
AUS,John Greenlees,,,,,,,,,,
AUS,John Jenkins,,,,,,,,,,
AUS,John Macarthur-King,,,,,,,,,,
AUS,John McLean,,,,,,,,,,
AUS,John Parrington,,,,,,,,,,
AUS,John Paterson,,,,,,,,,,
AUS,John Rayner,,,,,,,,,,
AUS,John Tunney,,,,,,,,,,
AUS,Jonathan Ross,,,,,,,,,,
AUS,Jonno Bannister,,,,,,,,,,
AUS,Jordan Spencer,,,,,,,,,,
AUS,Josh Mortensen,,,,,,,,,,
AUS,Justin Mitchell,,,,,,,,,,
AUS,Justin Mulkearns,,,,,,,,,,
AUS,Ken Leckenby,,,,,,,,,,
AUS,Ken Lockenby,,,,,,,,,,
AUS,Ken Mitchell,,,,,,,,,,
AUS,Kevin Whitbread,,,,,,,,,,
AUS,Kim Williams,,,,,,,,,,
AUS,Kym Campion,,,,,,,,,,
AUS,Lachlan Hornsby,,,,,,,,,,
AUS,Leigh Riddell,,,,,,,,,,
AUS,Leigh Winter,,,,,,,,,,
AUS,Leslie Nathanson,,,,,,,,,,
AUS,Leslie Nathonson,,,,,,,,,,
AUS,Liam McMahon
AUS,Liam Parker,,,,,,,,,,
AUS,Lindsay Gilbert,,,,,,,,,,
AUS,Lindsay Whitton,,,,,,,,,,
AUS,Lucas Prescott,,,,,,,,,,
AUS,Luke Abbott,,,,,,,,,,
AUS,Luke Payne,,,,,,,,,,
AUS,Luke Rhodes,,,,,,,,,,
AUS,Luke White
AUS,Maggie Bowden,,,,,,,,,,
AUS,Malcolm Higgins,,,,,,,,,,
AUS,Malcolm Page,,,,,,,,,,
AUS,Marcel Vos,,,,,,,,,,
AUS,Marcus Cooper,,,,,,,,,,
AUS,Mark Engert,,,,,,,,,,
AUS,Mark Paparella
AUS,Mark Scrymgour,,,,,,,,,,
AUS,Mark Stowell,,,,,,,,,,
AUS,Martin Pike,,,,,,,,,,
AUS,Martin Smith,,,,,,,,,,
AUS,Matt Bowden,,,,,,,,,,
AUS,Matt Brooman,,,,,,,,,,
AUS,Matt Burns
AUS,Matt Merchant,,,,,,,,,,
AUS,Matt Sanderson,,,,,,,,,,
AUS,Matt Smith,,,,,,,,,,
AUS,Matt Summers,,,,,,,,,,
AUS,Matthew Hansen,,,,,,,,,,
AUS,Matthew Holden,,,,,,,,,,
AUS,Matthew Owen,,,,,,,,,,
AUS,Matthew Till,,,,,,,,,,
AUS,Max Hayman,,,,,,,,,,
AUS,Max Whitnall,,,,,,,,,,
AUS,Michael Cook,,,,,,,,,,
AUS,Michael Duffeild,,,,,,,,,,
AUS,Michael Gallagher,,,,,,,,,,
AUS,Michael Lawrence,,,,,,,,,,
AUS,Michael Navarro,,,,,,,,,,
AUS,Michael Thomson,,,,,,,,,,
AUS,Mick Babbage,,,,,,,,,,
AUS,Mick O'Donnell,,,,,,,,,,
AUS,Mick Patrick,,,,,,,,,,
AUS,Mike Navarro,,,,,,,,,,
AUS,Mitchell McDonald,,,,,,,,,,
AUS,Morgan Bax,,,,,,,,,,
AUS,Murray Smith,,,,,,,,,,
AUS,Nandor Klatsmanyi,,,,,,,,,,
AUS,Nathan Outteridge,,,,,,,,,,
AUS,Nathan Quirk,,,,,,,,,,
AUS,Nathan Rosenberg,,,,,,,,,,
AUS,Neil Harrison,,,,,,,,,,
AUS,Neville Kerr,,,,,,,,,,
AUS,Nicholas Deussen,,,,,,,,,,
AUS,Nicholas Mariani,,,,,,,,,,
AUS,Nick Alexander
AUS,Nick Davis,,,,,,,,,,
AUS,Nick Johnston,,,,,,,,,,
AUS,Nick Johnstone,,,,,,,,,,
AUS,Nick Paterson,,,,,,,,,,
AUS,Nick Stabback,,,,,,,,,,
AUS,Noah Taylor,,,,,,,,,,
AUS,Patrick Atwell,,,,,,,,,,
AUS,Paul Campbell,,,,,,,,,,
AUS,Paul Greenhalgh
AUS,Paul Greenwood,,,,,,,,,,
AUS,Paul Marsh,,,,,,,,,,
AUS,Paul Ridgway,,,,,,,,,,
AUS,Paul Schulz,,,,,,,,,,
AUS,Pete Holden,,,,,,,,,,
AUS,Peter Harvey,,,,,,,,,,
AUS,Peter Holden,,,,,,,,,,
AUS,Peter McDonald,,,,,,,,,,
AUS,Peter Nicholas,,,,,,,,,,
AUS,Peter Nicolas,,,,,,,,,,
AUS,Peter Wilson,,,,,,,,,,
AUS,Phil Bowden,,,,,,,,,,
AUS,Phil Edney,,,,,,,,,,
AUS,Phil Gray,,,,,,,,,,
AUS,Phil Webb
AUS,Philip Scapens,,,,,,,,,,
AUS,Pip Pearson,,,,,pip.pearson.395,,,,,
AUS,Rasmus Goerge,,,,,,,,,,
AUS,Reg Crick,,,,,,,,,,
AUS,Renee de Voogd,,,,,,,,,,
AUS,Richard Gorrell,,,,,,,,,,
AUS,Richard Hyde,DPSS,505 sailor for 35 years,1949,,dickie.hyde.5,,,,,
AUS,Richard Machin,,,,,,,,,,
AUS,Richie Gallimore,,,,,,,,,,
AUS,Riley Pike,,,,,,,,,,
AUS,Riley Skipworth,,,,,,,,,,
AUS,Rob Deussen,,,,,,,,,,
AUS,Robert Bath,,,,,,,,,,
AUS,Robert Fleming,,,,,,,,,,
AUS,Robert Franks,,,,,,,,,,
AUS,Robert Gichrist,,,,,,,,,,
AUS,Robert Gilchrist,,,,,,,,,,
AUS,Robert Hook,,,,,,,,,,
AUS,Robert Jones,,,,,,,,,,
AUS,Robin Bath,,,,,,,,,,
AUS,Robin Cross,,,,,,,,,,
AUS,Rod Badgery,,,,,,,,,,
AUS,Rod Dalgleish,,,,,,,,,,
AUS,Roger Pell,,,,,,,,,,
AUS,Ron Naughton,,,,,,,,,,
AUS,Ryan Menzies,,,,,,,,,,
AUS,Sam Byass,,,,,,,,,,
AUS,Sam Haines,,,,,,,,,,
AUS,Sam Heritage,,,,,,,,,,
AUS,Samuel Hyde,,,,,,,,,,
AUS,Sandra Barber,,,,,,,,,,
AUS,Sarah Cooper,,,,,,,,,,
AUS,Sarah Macarthur-King,,,,,,,,,,
AUS,Sarah Withall,,,,,,,,,,
AUS,Scott Bailey,,,,,,,,,,
AUS,Scott Lidgett,,,,,,,,,,
AUS,Scott Olsen,,,,,,,,,,
AUS,Shain Attwell,,,,,,,,,,
AUS,Shane Attwell,,,,,,,,,,
AUS,Shane Duessen,,,,,,,,,,
AUS,Shane Guanaria,,,,,,,,,,
AUS,Simon Gorman,,,,,,,,,,
AUS,Simon Reffold,,,,,,,,,,
AUS,Simon Wilder,,,,,,,,,,
AUS,Soggy Pidsley,,,,,,,,,,
AUS,Stephen Ianna,,,,,,,,,,
AUS,Stephen Jones,,,,,,,,,,
AUS,Steve Finlay,,,,,,,,,,
AUS,Steve Howden,,,,,,,,,,
AUS,Steve Liney,,,,,,,,,,
AUS,Steve McConaghy,,,,,,,,,,
AUS,Steve Sievewright,,,,,,,,,,
AUS,Stuart Campbell,,,,,,,,,,
AUS,Thor Schoenhoff,,,,,,,,,,
AUS,Tim Jeans,,,,,,,,,,
AUS,Tim Walker,,,,,,,,,,
AUS,Tom Brewer,,,,,,,,,,
AUS,Tom Connell,,,,,,,,,,
AUS,Tom Stuchbery,,,,,,,,,,
AUS,Tom Watson,,,,,,,,,,
AUS,Tom Woods,,,,,,,,,,
AUS,Tony Wood,,,,,,,,,,
AUS,Vivian Marcas,,,,,,,,,,
AUS,Warren Cosh
AUS,Warren Cosh
AUS,Wayne Boyd,,,,,,,,,,
AUS,Will McDonald,,,,,,,,,,
AUS,Xavier Agnew,,,,,,,,,,
AUT,Adam Smith,,,,,,,,,,
AUT,Julian Jöbstl,,,,,,,,,,
AUT,Martin Schmidt,,,,,,,,,,
AUT,Michael Mayrhofer,,,,,,,,,,
BEL,Alain Mineur,,,,,,,,,,
BEL,Alain Tosello,,,,,,,,,,
BEL,Alban Viaud,,,,,,,,,,
BEL,Bas Van Assche,,,,,,,,,,
BEL,Casper Martens,,,,,,,,,,
BEL,Cédric Crets,,,,,,,,,,
BEL,Chris Lehouck,,,1968,,,,,,,
BEL,Claude Collette,,,,,,,,,,
BEL,Emiel Van Hemeldonck,,,,,,,,,,
BEL,Eric Defroimont,,,,,,,,,,
BEL,Eric Froidmont
BEL,Fabienne Boucau,,,,,,,,,,
BEL,Frédéric Decocq,,,,,,,,,,
BEL,Geert de Pauw,,,,,,,,,,
BEL,Harald Van Exem,,,,,,,,,,
BEL,Jan Van Hemeldonck,,,,,,,,,,
BEL,Jeroen Smeets,,,,,,,,,,
BEL,Jourquin Koen,,,,,,,,,,
BEL,Kim Van Assche,,,,,,,,,,
BEL,Koen Willems,,,,,,,,,,
BEL,Lien Van Assche,,,,,,,,,,
BEL,Lionel Lambert,,,,,,,,,,
BEL,Lionel Lampert,,,,,,,,,,
BEL,Luc Crets,,,,,,,,,,
BEL,Luc Moentack,,,,,,,,,,
BEL,Marie-Pierre Gorremans
BEL,Pascal Viaud,,,,,,,,,,
BEL,Philippe Vandersteen,,,,,,,,,,
BEL,Pierre Gorremans,,,,,,,,,,
BEL,Pietr Van Loer
BEl,Sander Smeets,,,,,,,,,,
BEL,Stijn Oyen,,,,,,,,,,
BEL,Théo Geeraerts,,,,,,,,,,
BEL,Toon Van Assche,,,,,,,,,,
BEL,Xavier Dobbelstein,,,,,,,,,,
BEL,Yannick Maheux,,,,,,,,,,
BER,Brett Wright,,,,,,,,,,
CAN,Adam Bookman,,,,,,,,,,
CAN,Adam Gesing,,,,,,,,,,
CAN,Adam Gooderham,,,,,,,,,,
CAN,Adam Schell,,,,,,,,,,
CAN,Adrien Rootsaert,,,,,,,,,,
CAN,Alain Molimard,,,,,,,,,,
CAN,Alec Francis,,,,,,,,,,
CAN,Andrew Gesing,,,,,,,,,,
CAN,Andriy Kanyuka,,,,,,,,,,
CAN,Angus Ross,,,,,,,,,,
CAN,Barrett Rhodes,,,,,,,,,,
CAN,Bernard Péro,,,,,,,,,,
CAN,Carol Cote,,,,,,,,,,
CAN,Caroline Bougie,,,,,,,,,,
CAN,Chris Gillies,,,,,,,,,,
CAN,Christian Voyer,,,,,,,,,,
CAN,Chuck Hanson,,,,,,,,,,
CAN,Clarissa Bush,,,,,,,,,,
CAN,Cynthia Des Brisay,,,,,,,,,,
CAN,Dave Phillips,,,,,,,,,,
CAN,Dave Thomas,,,,,,,,,,
CAN,David Adams,,,,,,,,,,
CAN,David Brown,,,,,,,,,,
CAN,David Cross,,,,,,,,,,
CAN,David Friberg,,,,,,,,,,
CAN,Dean Rootsaert,,,,,,,,,,
CAN,Devlin Lovshin,,,,,,,,,,
CAN,Don McNeil,,,,,,,,,,
CAN,Eric Dumouchel,,,,,,,,,,
CAN,Eric Tabardel,,,,,,,,,,
CAN,Evan Jennings,,,,,,,,,,
CAN,Florence Boyd,,,,,,,,,,
CAN,François Bertrand,,,,,,,,,,
CAN,François-Xavier Bertrand,,,,,,,,,,
CAN,Frank McLauchlin,,,,,,,,,,
CAN,Geoff Schaefer,,,,,,,,,,
CAN,Hugh Morrin,,,,,,,,,,
CAN,Iain Torrie,,,,,,,,,,
CAN,Ian Eskritt,,,,,,,,,,
CAN,Ian Marentette,,,,,,,,,,
CAN,Ian Plumbley,,,,,,,,,,
CAN,Ian Torrie,,,,,,,,,,
CAN,Isabelle Beaudoin,,,,,,,,,,
CAN,Jacob Livingstone,,,,,,,,,,
CAN,James Cruickshank,,,,,,,,,,
CAN,Jeff Boyd,,,,,,,,,,
CAN,Jim Dingle,,,,,,,,,,
CAN,Jim MacLachlan,,,,,,,,,,
CAN,John Fracisco,,,,,,,,,,
CAN,John Hayley,,,,,,,,,,
CAN,Julian Pearson,,,,,,,,,,
CAN,Julie Giguere,,,,,,,,,,
CAN,Justin Kitney,,,,,,,,,,
CAN,Karl Oswald,,,,,,,,,,
CAN,Kevin Powick,,,,,,,,,,
CAN,Kevin Schultz,,,,,,,,,,
CAN,Kevin Shulz,,,,,,,,,,
CAN,Kingsley Fairbridge,,,,,,,,,,
CAN,Kyber Lovshin,,,,,,,,,,
CAN,Leszek Nowosielski,,,,,,,,,,
CAN,Malcolm McHattie,,,,,,,,,,
CAN,Marek Baliński,,,,,,,,,,
CAN,Margaret Hurley,,,,,,,,,,
CAN,Mario Angers,,,,,,,,,,
CAN,Marius Rzucidlo,,,,,,,,,,
CAN,Mark Ashby,,,,,,,,,,
CAN,Mark Phillips,,,,,,,,,,
CAN,Martin Hicks,,,,,,,,,,
CAN,Martin ten Hove,,,,,,,,,,
CAN,Michael Hoffman,,,,,,,,,,
CAN,Michael Wonnacott,,,,,,,,,,
CAN,Nicolas Tosi,,,,,,,,,,
CAN,Nora Hoffer,,,,,,,,,,
CAN,Norman Saint-Cyr,,,,,,,,,,
CAN,Pat Ware,,,,,,,,,,
CAN,Paul Clifford,,,,,,,,,,
CAN,Paul Place,,,,,,,,,,
CAN,Penny Eastabrooke,,,,,,,,,,
CAN,Per Jacobsen,,,,,,,,,,
CAN,Pete Frey,,,,,,,,,,
CAN,Peter Grimm,,,,,,,,,,
CAN,Philip Cragg,,,,,,,,,,
CAN,Pierre Ferland,,,,,,,,,,
CAN,Pierre Saint-Cyr,,,,,,,,,,
CAN,Rachael Boyd,,,,,,,,,,
CAN,Renka Gesing,,,,,,,,,,
CAN,Reto Corfu,,,,,,,,,,
CAN,Rich Mundell,Royal Victoria Yacht Club,,1968,,,,,,,
CAN,Richard McDonald,,,,,,,,,,
CAN,Robert Bartlewski,,,,,,,,,,
CAN,Robert Tennant,,,,,,,,,,
CAN,Robert Terbrugge,,,,,,,,,,
CAN,Robert Voyer,,,,,,,,,,
CAN,Robin Brown,,,,,,,,,,
CAN,Samuel Place,,,,,,,,,,
CAN,Scott Salter,,,,,,,,,,
CAN,Tereska Gesing,,,,,,,,,,
CAN,Terry Meade,,,,,,,,,,
CAN,Thomas Kivney,,,,,,,,,,
CAN,Tibor Kamon,,,,,,,,,,
CAN,Tim Willett,,,,,,,,,,
CAN,Todd Johnson,,,,,,,,,,
CAN,Tom Burnard,,,,,,,,,,
CAN,Tom Russell,,,,,,,,,,
CAN,Trevor Owen,,,,,,,,,,
CAN,Valerie Fuchshuber,,,,,,,,,,
CAN,William Penney,,,,,,,,,,
CAN,Winston Cummins,,,,,,,,,,
CRO,Miro Cvitkovic,,,,,,,,,,
CRO,Nikola Fabijanić,,,,,,,,,,
CRO,Nina Popovac,,,,,,,,,,
CRO,Ratko Štibrić,,,,,,,,,,
CRO,Slobodan Velikić,,,,,,,,,,
CRO,Tomislav Jelic,,,,,,,,,,
CRO,Zoran Majstorović,,,,,,,,,,
DEN,Allan Andreasen,,,,,,,,,,
DEN,Anders Friis,,,,,,,,,,
DEN,Anders Frimodtmoller,,,,,,,,,,
DEN,Anders Kaempe,,,,,,,,,,
DEN,Anna Garver,,,,,,,,,,
DEN,Anne-Sophie Olesen,,,,,,,,,,
DEN,Bent Lundsager,,,,,,,,,,
DEN,Bo Petersen,,,,,,,,,,
DEN,Brian Sørensen,,,,,,,,,,
DEN,Carsten Petersen,,,,,,,,,,
DEN,Christian Limbrecht Mogensen,,,,,,,,,,
DEN,Claus Jacobsen,,,,,,,,,,
DEN,Erik Ørsted,,,,,,,,,,
DEN,Etienne Bourbeau,,,,,,,,,,
DEN,Fabiola Wonterghem,,,,,,,,,,
DEN,Finn Angelo,,,,,,,,,,
DEN,Finn Jensen,,,,,,,,,,
DEN,Flemming Sand,,,,,,,,,,
DEN,Hans Jørgen Riber,,,,,,,,,,
DEN,Hans Westh,,,,,,,,,,
DEN,Helge Rasmussen,,,,,,,,,,
DEN,Henrik Boye,,,,,,,,,,
DEN,Jacob Ernst,,,,,,,,,,
DEN,Jacob Sonny Ernst,,,,,,,,,,
DEN,Jakob Karbo,,,,,,,,,,
DEN,Jakob Thomasen,,,,,,,,,,
DEN,Jan Eppers,,,,,,,,,,
DEN,Jan Feddersen,,,,,,,,,,
DEN,Jan Møller,,,,,,,,,,
DEN,Jan Saugmann,,,,,,,,,,
DEN,Jens Christensen,,,,,,,,,,
DEN,Jens Thomsen,,,,,,,,,,
DEN,Jesper Bülow,,,,,,,,,,
DEN,Jesper Ernst,,,,,,,,,,
DEN,Jesper Høeg,,,,,,,,,,
DEN,Jesper Legind Larsen,,,,,,,,,,
DEN,Johan Pedersen,,,,,,,,,,
DEN,Johnny Rodholm,,,,,,,,,,
DEN,Jon Andersen,,,,,,,,,,
DEN,Jörg Hansen,,,,,,,,,,
DEN,Jørgen Holm,,,,,,,,,,
DEN,Jørgen Schönherr,,,,,,,,,,
DEN,Kenneth Eriksen,,,,,,,,,,
DEN,Ketil Johansen,,,,,,,,,,
DEN,Kim Riis,,,,,,,,,,
DEN,Kim Riis Pedersen,,,,,,,,,,
DEN,Kim Sørensen,,,,,,,,,,
DEN,Klaus Natorp,,,,,,,,,,
DEN,Kristoffer Møllevang,,,,,,,,,,
DEN,Lars Bojvad,,,,,,,,,,
DEN,Lars Christensen,,,,,,,,,,
DEN,Lars Espersen,,,,,,,,,,
DEN,Lars Henrik Andersen,,,,,,,,,,
DEN,Lasse Andersen,,,,,,,,,,
DEN,Lasse B. Andersen,,,,,,,,,,
DEN,Laurids E. Kirchoff,,,,,,,,,,
DEN,Laust Castor Lund,,,,,,,,,,
DEN,Mads Christiansen,,,,,,,,,,
DEN,Mark Orton,,,,,,,,,,
DEN,Mark Pedersen,,,,,,,,,,
DEN,Martin Frederichsen,,,,,,,,,,
DEN,Martin Thombs,,,,,,,,,,
DEN,Martin Thumle,,,,,,,,,,
DEN,Michael Bang,,,,,,,,,,
DEN,Michael Paulsen,,,,,,,,,,
DEN,Michael Wonterghem,,,,,,,,,,
DEN,Mikkel Bardram,,,,,,,,,,
DEN,Mikkel Storgaard,,,,,,,,,,
DEN,Morten Andersen,,,,,,,,,,
DEN,Morten Ramsbæk,,,,,,,,,,
DEN,Morten S. Andersen,,,,,,,,,,
DEN,Niels Flohr,,,,,,,,,,
DEN,Nikolaj Hoffmann Buhl,,,,,,,,,,
DEN,Ole Høyer,,,,,,,,,,
DEN,Paul Bert Elvstrøm,,,,,,,,,,
DEN,Per Winther Larsen,,,,,,,,,,
DEN,Peter Moller,,,,,,,,,,
DEN,Poul Aunsholm,Hvidovre Sejlklub Suset,,1974,,,,,,,
DEN,Poul Strange,,,,,,,,,,
DEN,Rasmus Andersen,,,,,,,,,,
DEN,Rasmus Fredsted,,,,,,,,,,
DEN,Søren Andersen,,,,,,,,,,
DEN,Søren Asboe Jørgensen,,,,,,,,,,
DEN,Søren Storm,,,,,,,,,,
DEN,Sune Sissgaard,,,,,,,,,,
DEN,Thomas Hartvig,,,,,,,,,,
DEN,Thomas Kildegård,,,,,,,,,,
DEN,Tom Bøjland,Kongelig Dansk Yachtklub,Currently A-class & Formula 18,,,,,,,,
DEN,Uffe Andersen,,,,,,,,,,
FIN,Aarne Kuusi,,,,,,,,,,
FIN,Akke Kuusela,,,,,,,,,,
FIN,Antti Jore,,,,,,,,,,
FIN,Ari Dillemuth,,,,,,,,,,
FIN,Ari Peltoniemi,,,,,,,,,,
FIN,Arno Parviainen,,,,,,,,,,
FIN,Atte Piiroinen,,,,,,,,,,
FIN,Björn Pundars,,,,,,,,,,
FIN,Eero Niemitalo,,,,,,,,,,
FIN,Eino Laitinen,,,,,,,,,,
FIN,Esko Aho,,,,,,,,,,
FIN,Esko Vanninen,,,,,,,,,,
FIN,Hanno Narjus,,,,,,,,,,
FIN,Hannu Pöyry,,,,,,,,,,
FIN,Henri Räty,,,,,,,,,,
FIN,Iiro Jaakonsaari,,,,,,,,,,
FIN,Ilkka Tuomi,,,,,,,,,,
FIN,Jan Ekman,,,,,,,,,,
FIN,Jan Lindahl,,,,,,,,,,
FIN,Jesper Broo,,,,,,,,,,
FIN,Joakim Westerlund,,,,,,,,,,
FIN,Joonas Björkman,,,,,,,,,,
FIN,Joonas Lindgren,,,,,,,,,,
FIN,Jouni Liljander,,,,,,,,,,
FIN,Jouni Valli,,,,,,,,,,
FIN,Juha Pietilä,,,,,,,,,,
FIN,Juhani Heimsch,,,,,,,,,,
FIN,Jukka Hyvärinen,,,,,,,,,,
FIN,Jukka Saren,,,,,,,,,,
FIN,Jukka Suonpää,,,,,,,,,,
FIN,Jussi Hämäläinen,,,,,,,,,,
FIN,Jyri Wilén,,,,,,,,,,
FIN,Jyrki Kalavainen,,,,,,,,,,
FIN,Kalle Aaltonen,,,,,,,,,,
FIN,Kari Wilén,,,,,,,,,,
FIN,Kenneth Thélen,,,,,,,,,,
FIN,Lars Lagerström,,,,,,,,,,
FIN,Lauri Kääpä,,,,,,,,,,
FIN,Lauri Parviainen,,,,,,,,,,
FIN,Maria Kuosa,,,,,,,,,,
FIN,Markus Wikar,,,,,,,,,,
FIN,Miika Perden,,,,,,,,,,
FIN,Mika Pitkänen,,,,,,,,,,
FIN,Mikael Maksimow,,,,,,,,,,
FIN,Mikael Nylund,,,,,,,,,,
FIN,Mikko Laine,,,,,,,,,,
FIN,Mikko Tähtinen,,,,,,,,,,
FIN,Nils Lagerström,,,,,,,,,,
FIN,Olli Karlsson,,,,,,,,,,
FIN,Oskari Jääskeläinen,,,,,,,,,,
FIN,Robin Gustafsson,,,,,,,,,,
FIN,Rosemarie Hartman,,,,,,,,,,
FIN,Rudi Biaudet,,,1953-03-03,,,,Ali Rudi Rainer Biaudet,180,,
FIN,Seppo Kari,,,,,,,,,,
FIN,Sirkka Parviainen,,,,,,,,,,
FIN,Tapani Elovirta,,,,,,,,,,
FIN,Teddy Weber,,,,,,,,,,
FIN,Teemu Heljo,,,,,,,,,,
FIN,Thomas Castrén,,,,,,,,,,
FIN,Timo Kari,,,,,,,,,,
FIN,Tommy Andersson,,,,,,,,,,
FIN,Tuomas Ebeling,,,,,,,,,,
FIN,Ville Malm,,,,,,,,,,
FIN,Ville Tarvo,,,,,,,,,,
FRA,Adam Manuelle,,,,,,,,,,
FRA,Adrien Lafortune,,,,,,,,,,
