Nation,Boat NO,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
GBR,8161,R. Sherwood,I. Perkins,,59,101,72,68,53,252,71
GBR,8123,C. Romans,B. Romans,,64,66,69,62,62,254,72
GBR,7976,D. Bradley,A. Peeley,,77,64,101,61,66,268,73
GBR,7770,J. Dawson,N. Dawson,,71,63,75,70,73,277,74
GBR,8160,J. Wallace,M. Cuthbert,,47,101,64,67,101,279,75
GBR,8304,Frank Rainsborough,T. Swainston,,69,65,101,79,69,282,76
GBR,7579,J. Baxter,R. Ayres,,67,101,101,64,54,286,77
GBR,7368,R. Wiscombe,H. Duncan,,78,68,76,75,76,295,78
GBR,7541,C. Pearson,V. Thompson,,74,101,77,77,78,306,79
GBR,7415,P. Binning,S. Dye,,101,69,79,80,79,307,80
GBR,8300,E. Jenkins,A. Jenkins,,66,103,103,71,74,314,81
GBR,7929,S. Masey,I. Dickinson,,70,101,101,76,67,314,82
GBR,8034,R. Driver,A. Robinson,,101,62,51,101,102,315,83
GBR,8303,L. Martin,T. Harding,,79,103,73,66,101,319,84
GBR,8307,J. Hughes,M. Foster,,103,18,101,101,101,323,85
FRA,8401,P. Feuerstein,V. Lombard,,73,103,101,83,72,329,86
GBR,6451,T. Feake,B. Mathews,,80,103,103,84,81,348,87
GBR,7518,B. Cooke,T. Harper,,103,103,103,101,49,356,88
GBR,7383,M. Yorke,E. Dominck,,101,103,78,101,77,357,89
GBR,8408,N. Burrows,D. Marriot,,76,103,101,101,80,358,90
GBR,6948,A. Evans,R. Taylor,,103,103,80,82,103,368,91
GBR,7018,N. Turpin,Creighton,,101,103,70,101,103,375,92
GBR,7302,K. Isacs,S. Leveridge,,101,103,103,73,103,380,93
GBR,7450,T. Scarisbrick,G. Scarisbrick,,103,103,101,78,103,385,94
GBR,8344,P. Harvey,G. Pearman,,102,101,101,81,103,385,95
